ACCOUNT_GROUP_ID,LANGUAGE,ACCOUNT_GROUP_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
110,EN,Materials (AG 110),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
120,EN,Activities (AG 120),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
130,EN,Overheads (AG 130),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
140,EN,Processes (AG 140),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
111,EN,Raw materials (AG 111),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
112,EN,Semi-finished products (AG 112),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
113,EN,Finished products (AG 113),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
121,EN,Activities - setup (AG 121),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
122,EN,Activities - labor (AG 122),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
123,EN,Activities - machine (AG 123),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
131,EN,Material overheads (AG 131),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
132,EN,Production overheads (AG 132),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
133,EN,Other overheads (AG 133),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
141,EN,Plan work (AG 141),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
142,EN,Sales order processing (AG 142),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
150,EN,Gross Profit (AG 150),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
110,DE,Materialien (KG 110),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
120,DE,Leistungen (KG 120),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
130,DE,Gemeinkosten (KG 130),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
140,DE,Geschäftsprozesse (KG 140),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
111,DE,Rohstoffe (KG 111),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
112,DE,Halbfabrikate (KG 112),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
113,DE,Fertigerzeugnisse (KG 113),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
121,DE,Fertigung - Rüsten (KG 121),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
122,DE,Fertigung - Personal (KG 122),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
123,DE,Fertigung - Maschine (KG 123),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
131,DE,Materialgemeinkosten (KG 131),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
132,DE,Fertigungsgemeinkosten (KG 132),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
133,DE,Andere Gemeinkosten (KG 133),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
141,DE,Arbeitsvorbereitung (KG 141),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
142,DE,Kundenauftragsbearbeitung (KG 142),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
150,DE,Bruttogewinn (KG 150),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
210,EN,Materials (AG 210),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
220,EN,Activities (AG 220),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
230,EN,Overheads (AG 230),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
211,EN,Raw materials (AG 211),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
212,EN,Semi-finished products (AG 212),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
213,EN,Finished products (AG 213),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
214,EN,Unspecified materials (AG 214),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
221,EN,Activities 1 (AG 221),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
222,EN,Activities 2 (AG 222),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
223,EN,Activities 1 - fix (AG 223),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
224,EN,Activities 1 - variable (AG 224),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
225,EN,Activities 2 - fix (AG 225),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
226,EN,Activities 2 - variable (AG 226),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
231,EN,Material and production overheads (AG 231),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
232,EN,Other overheads (AG 232),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
210,DE,Materialien (KG 210),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
220,DE,Leistungen (KG 220),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
230,DE,Gemeinkosten (KG 230),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
211,DE,Rohstoffe (KG 211),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
212,DE,Halbfabrikate (KG 212),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
213,DE,Fertigerzeugnisse (KG 213),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
214,DE,Unspezifizierte Materialien (KG 214),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
221,DE,Leistungen 1 (KG 221),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
222,DE,Leistungen 2 (KG 222),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
223,DE,Leistungen 1 - fix (KG 223),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
224,DE,Leistungen 1 - variabel (KG 224),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
225,DE,Leistungen 2 - fix (KG 225),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
226,DE,Leistungen 2 - variabel (KG 226),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
231,DE,Material- und Produktionsgemeinkosten (KG 231),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
232,DE,Sonstige Gemeinkosten (KG 232),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
