ACTIVITY_TYPE_ID,CONTROLLING_AREA_ID,ACCOUNT_ID,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#AT1,#CA1,#AC21,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT2,#CA1,#AC22,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT3,#CA1,#AC23,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT4,#CA2,#AC21,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT5,#CA2,#AC22,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT6,#CA2,#AC23,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT7,#CA1,#AC22,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT8,#CA1,#AC22,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT1,#CA3,#AC01,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT2,#CA3,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
