CALCULATION_VERSION_ID,CALCULATION_ID,CALCULATION_VERSION_NAME,STATUS_ID,ROOT_ITEM_ID,CUSTOMER_ID,SALES_PRICE,SALES_PRICE_CURRENCY_ID,REPORT_CURRENCY_ID,COSTING_SHEET_ID,COMPONENT_SPLIT_ID,START_OF_PRODUCTION,END_OF_PRODUCTION,VALUATION_DATE,LAST_MODIFIED_ON,LAST_MODIFIED_BY,MASTER_DATA_TIMESTAMP,IS_FROZEN,SALES_DOCUMENT,CALCULATION_VERSION_TYPE,LIFECYCLE_PERIOD_FROM,BASE_VERSION_ID,EXCHANGE_RATE_TYPE_ID,MATERIAL_PRICE_STRATEGY_ID,ACTIVITY_PRICE_STRATEGY_ID,SELECTED_TOTAL_COSTING_SHEET,SELECTED_TOTAL_COMPONENT_SPLIT
1,1,#Version 1,COMPLETE,3952,#CU1,10000,EUR,EUR,#COGSL,#SPLIT_CONDENSED,2015-07-01,2017-12-31,2015-09-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,1,,,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
2,2,#Version 1,,5176,#CU2,10000,EUR,EUR,#COGSL,#SPLIT_CONDENSED,2015-07-01,2017-12-31,2015-09-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,1,,,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
4,4,#Version 1,INCOMPLETE,1,,,EUR,EUR,#COGM,#SPLIT_DETAILED,2018-07-01,2022-06-30,2017-01-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,1,,,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
5,5,#Version 1,DRAFT,1,,,EUR,EUR,#COGM,#SPLIT_DETAILED,2019-04-01,2023-12-31,2017-04-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,1,,,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
519,5,#Version 1 - 2019,DRAFT,1,,,EUR,EUR,#COGM,#SPLIT_DETAILED,2018-07-01,2023-12-31,2019-03-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,2,1428,5,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
520,5,#Version 1 - 2020,ACTIVE,1,,,EUR,EUR,#COGM,#SPLIT_DETAILED,2018-07-01,2023-12-31,2020-03-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,2,1440,5,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
521,5,#Version 1 - 2021,DRAFT,1,,,EUR,EUR,#COGM,#SPLIT_DETAILED,2018-07-01,2023-12-31,2021-03-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,2,1452,5,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
522,5,#Version 1 - 2022,PENDING,1,,,EUR,EUR,#COGM,#SPLIT_DETAILED,2018-07-01,2023-12-31,2022-03-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,2,1464,5,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
523,5,#Version 1 - 2023,DRAFT,1,,,EUR,EUR,#COGM,#SPLIT_DETAILED,2018-07-01,2023-12-31,2023-03-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,2,1476,5,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
3,3,#Version 1,ACTIVE,3952,#CU1,10000,EUR,EUR,#COGM,#SPLIT_CONDENSED,2018-07-01,2022-06-30,2017-01-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,1,,,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
6,6,#Version 1,,4952,#CU1,10000,EUR,EUR,#COGM,#SPLIT_CONDENSED,2018-07-01,2022-06-30,2017-01-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,4,,,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
7,7,#Version 1,DRAFT,4952,#CU1,10000,EUR,EUR,#COGM,#SPLIT_CONDENSED,2018-07-01,2022-06-30,2017-01-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,4,,,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
8,8,#Version 1,ACTIVE,1,,,EUR,EUR,#COGM,#SPLIT_DETAILED,2019-04-01,2023-12-31,2017-04-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,1,,,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
9,9,#Version 1,PENDING,1,,,EUR,EUR,#COGM,#SPLIT_DETAILED,2019-04-01,2023-12-31,2017-04-01,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,0,,1,,,STANDARD,PLC_STANDARD,PLC_STANDARD,TOTAL_COST,TOTAL_COST
