COSTING_SHEET_ID,COSTING_SHEET_ROW_ID,LANGUAGE,COSTING_SHEET_ROW_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#COGSL,DMC,EN,Materials (AG 110),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,MOC,EN,Material overhead cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,MOC,DE,Materialgemeinkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,DPC,EN,Activities (AG 120),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,DPC,DE,Leistungen (KG 120),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,POC,EN,Production overhead cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,POC,DE,Fertigungsgemeinkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,COGM,EN,Cost of Goods Manufactured,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,COGM,DE,Herstellkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,SAO,EN,Sales&Administration Overhead,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,SAO,DE,Verwaltungs- und Vertriebsgemeinkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,COGS,EN,Cost of Goods Sold,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,COGS,DE,Selbstkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGSL,DMC,DE,Materialien (KG 110),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,DMC,EN,Materials (AG 110),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,DMC,DE,Materialien (KG 110),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,MOC,EN,Material Overhead Cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,MOC,DE,Materialgemeinkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,MC,EN,Material Cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,MC,DE,Materialkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,DPC,EN,Activities (AG 120),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,DPC,DE,Leistungen (KG 120),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,POC,EN,Production Overhead Cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,POC,DE,Fertigungsgemeinkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,PC,EN,Production Cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,PC,DE,Fertigungskosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,COGM,EN,Cost of Goods Manufactured,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#COGM,COGM,DE,Herstellkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,DMC,EN,Materials (AG 110),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,DMC,DE,Materialien (KG 110),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,MOC,EN,Material Overhead Cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,MOC,DE,Materialgemeinkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,MC,EN,Material Cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,MC,DE,Materialkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,ICGP,EN,Intercompany Gross Profit,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,ICGP,DE,Buchungskreisübergreifender Bruttogewinn,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,ICMC,EN,Intercompany Material Cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,ICMC,DE,Buchungskreisübergreifende Materialkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,DPC,EN,Activities (AG 120),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,DPC,DE,Leistungen (KG 120),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,POC,EN,Production Overhead Cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,POC,DE,Fertigungsgemeinkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,PC,EN,Production Cost,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,PC,DE,Fertigungskosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,COGM,EN,Cost of Goods Manufactured,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,COGM,DE,Herstellkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,ICOGM,EN,Intercompany Cost of Goods Manufactured,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_COGM,ICOGM,DE,Buchungskreisübergreifende Herstellkosten,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
