CURRENCY_ID,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
BRL,2000-01-01 00:00:00.000,,1,#CONTROLLER
CAD,2000-01-01 00:00:00.000,,1,#CONTROLLER
CHF,2000-01-01 00:00:00.000,,1,#CONTROLLER
CLP,2000-01-01 00:00:00.000,,1,#CONTROLLER
CNY,2000-01-01 00:00:00.000,,1,#CONTROLLER
EUR,2000-01-01 00:00:00.000,,1,#CONTROLLER
GBP,2000-01-01 00:00:00.000,,1,#CONTROLLER
INR,2000-01-01 00:00:00.000,,1,#CONTROLLER
JPY,2000-01-01 00:00:00.000,,1,#CONTROLLER
RUB,2000-01-01 00:00:00.000,,1,#CONTROLLER
USD,2000-01-01 00:00:00.000,,1,#CONTROLLER
