ID,TABLE_NAME,DEPENDS_ON_TABLE_NAME
1,t_controlling_area__text,t_controlling_area
2,t_company_code,t_controlling_area
3,t_company_code__text,t_company_code
4,t_plant,t_company_code
5,t_plant__text,t_plant
6,t_overhead_group,t_plant
7,t_overhead_group__text,t_overhead_group
8,t_uom__text,t_uom
9,t_cost_center,t_controlling_area
10,t_cost_center__text,t_cost_center
11,t_account,t_controlling_area
12,t_account__text,t_account
13,t_activity_type,t_controlling_area
14,t_activity_type,t_account
15,t_activity_type__text,t_activity_type
16,t_process,t_controlling_area
17,t_process,t_account
18,t_process__text,t_process
19,t_work_center,t_plant
20,t_work_center,t_controlling_area
21,t_work_center,t_cost_center
23,t_work_center,t_activity_type
24,t_work_center__text,t_work_center
25,t_profit_center,t_controlling_area
26,t_valuation_class__text,t_valuation_class
27,t_profit_center__text,t_profit_center
28,t_business_area__text,t_business_area
29,t_material_type__text,t_material_type
30,t_material_group__text,t_material_group
31,t_material,t_material_type
32,t_material,t_material_group
33,t_material,t_uom
34,t_material__text,t_material
35,t_material_plant,t_material
36,t_material_plant,t_plant
37,t_material_plant,t_overhead_group
38,t_material_plant,t_valuation_class
39,t_material_plant,t_uom
40,t_document_type__text,t_document_type
41,t_document_status__text,t_document_status
42,t_document,t_document_type
43,t_document,t_document_status
44,t_document__text,t_document
45,t_material_account_determination,t_controlling_area
46,t_material_account_determination,t_material_type
47,t_material_account_determination,t_plant
48,t_material_account_determination,t_valuation_class
49,t_material_account_determination,t_account
50,t_material_price,t_material
51,t_material_price,t_plant
52,t_material_price,t_vendor
53,t_material_price,t_customer
54,t_material_price,t_uom
55,t_document_status,t_document_type
56,t_document_material,t_document
57,t_document_material,t_material
58,t_activity_price,t_controlling_area
59,t_activity_price,t_cost_center
60,t_activity_price,t_uom
61,t_activity_price,t_activity_type
62,t_activity_price,t_customer
