ID,TABLE_NAME,LABEL,DESCRIPTION,INPUT_SQL_DEFAULT,INPUT_SQL,IS_REPL_MANDATORY,REPL_STATUS
1,t_controlling_area,XFLD_DisplayName_ControllingArea,XTOL_DescriptionName_ControllingArea,"SELECT KOKRS, WAERS FROM ""sap.plc.db::repl_st.t_tka01"" WHERE KOKRS IS NOT NULL and (WAERS is NULL or ucase(WAERS) in ( SELECT distinct CURRENCY_ID FROM ""sap.plc.db::basis.t_currency"" where _valid_from <= current_timestamp and _valid_to is null )) and MANDT = ''800''",,0,DISABLED
2,t_company_code,XFLD_DisplayName_CompanyCode,XTOL_DescriptionName_CompanyCode,"SELECT t001.BUKRS, t001.WAERS, tka02.KOKRS FROM ""sap.plc.db::repl_st.t_t001"" as t001 inner join ""sap.plc.db::repl_st.t_tka02"" as tka02 on t001.mandt = tka02.mandt and t001.bukrs = tka02.bukrs and tka02.gsber = '''' WHERE t001.BUKRS IS NOT NULL and tka02.bukrs is not null AND tka02.KOKRS IS NOT NULL and (t001.WAERS is NULL or ucase(t001.WAERS) in ( SELECT distinct CURRENCY_ID FROM ""sap.plc.db::basis.t_currency"" where _valid_from <= current_timestamp and _valid_to is null) ) and t001.mandt = ''800''",,0,DISABLED
3,t_plant,XFLD_DisplayName_Plant,XTOL_DescriptionName_Plant,"SELECT t001w.WERKS, t001k.BUKRS, t001w.STRAS,t001w.PSTLZ, t001w.ORT01, t001w.LAND1, t001w.REGIO FROM ""sap.plc.db::repl_st.t_t001w"" as t001w inner join ""sap.plc.db::repl_st.t_t001k"" as t001k on t001w.mandt= t001k.mandt and t001w.BWKEY = t001k.BWKEY WHERE t001w.WERKS IS NOT NULL AND t001k.BUKRS IS NOT NULL and t001w.MANDT = ''800''",,0,DISABLED
4,t_overhead_group,XFLD_DisplayName_OverheadGroup,XTOL_DescriptionName_OverheadGroup,"SELECT tck14.KOSGR, t001w.WERKS FROM ""sap.plc.db::repl_st.t_tck14"" AS tck14 INNER JOIN ""sap.plc.db::repl_st.t_t001w"" AS t001w ON tck14.BWKEY = t001w.BWKEY AND tck14.MANDT = t001w.MANDT WHERE tck14.KOSGR IS NOT NULL AND t001w.WERKS IS NOT NULL AND tck14.MANDT = ''800''",,0,DISABLED
5,t_uom,XFLD_DisplayName_UoM,XTOL_DescriptionName_UoM,"select distinct (CASE WHEN uom.DESTINATION_UOM_ID is not null then uom.DESTINATION_UOM_ID else MSEHI END) as MSEHI, dim.DESTINATION_DIMENSION_ID as DIMID, ZAEHL, NENNR, EXP10, ADDKO from ""sap.plc.db::repl_st.t_t006"" as t006 inner join ""sap.plc.db::map.t_dimension_mapping"" as dim on t006.DIMID = dim.SOURCE_DIMENSION_ID left outer join ""sap.plc.db::map.t_uom_mapping"" as uom on t006.MSEHI = uom.SOURCE_UOM_ID where IFNULL(t006.MSEHI, '''') <> '''' and t006.MSEHI not in (''10'',''STD'') and t006.MANDT = ''800''",,0,DISABLED
6,t_cost_center,XFLD_DisplayName_CostCenter,XTOL_DescriptionName_CostCenter,"SELECT (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(CSKS.KOSTL)=0 then CSKS.KOSTL else TRIM( LEADING ''0'' FROM CSKS.KOSTL )END) AS KOSTL, CSKS.KOKRS FROM ""sap.plc.db::repl_st.t_csks"" as CSKS WHERE CSKS.KOSTL IS NOT NULL and CSKS.KOKRS is not NULL and CSKS.DATBI = (SELECT MAX(DATBI) FROM ""sap.plc.db::repl_st.t_csks"" AS CSKS1 WHERE CSKS1.MANDT = ''800'' AND CSKS1.KOKRS = CSKS.KOKRS AND CSKS1.KOSTL = CSKS.KOSTL) AND CSKS.DATBI >= TO_DATS(CURRENT_DATE) AND CSKS.MANDT = ''800''",,0,DISABLED
7,t_account,XFLD_DisplayName_Account,XTOL_DescriptionName_Account,"SELECT (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(CSKB.KSTAR)=0 then CSKB.KSTAR else TRIM( LEADING ''0'' FROM CSKB.KSTAR )END) AS KSTAR, CSKB.KOKRS FROM ""sap.plc.db::repl_st.t_cskb"" as CSKB WHERE CSKB.KSTAR IS NOT NULL and CSKB.KOKRS is not NULL and CSKB.DATBI = (SELECT MAX(DATBI) FROM ""sap.plc.db::repl_st.t_cskb"" AS CSKB1 WHERE CSKB1.MANDT = ''800'' AND CSKB1.KSTAR= CSKB.KSTAR AND CSKB1.KOKRS = CSKB.KOKRS) AND CSKB.DATBI >= TO_DATS(CURRENT_DATE) and CSKB.MANDT = ''800''",,0,DISABLED
8,t_process,XFLD_DisplayName_Process,XTOL_DescriptionName_Process,"SELECT CBPR.PRZNR, CBPR.KOKRS, (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(CBPR.VKSTA)=0 then CBPR.VKSTA else TRIM( LEADING ''0'' FROM CBPR.VKSTA )END) AS VKSTA, null as COMMENT FROM ""sap.plc.db::repl_st.t_cbpr"" AS CBPR WHERE CBPR.PRZNR IS NOT NULL and CBPR.KOKRS is not NULL and CBPR.DATBI = (SELECT MAX(DATBI) FROM ""sap.plc.db::repl_st.t_cbpr"" AS CBPR1 WHERE CBPR1.MANDT = ''800'' AND CBPR1.PRZNR = CBPR.PRZNR AND CBPR1.KOKRS = CBPR.KOKRS) AND CBPR.DATBI >= TO_DATS(CURRENT_DATE) and CBPR.MANDT = ''800''",,0,DISABLED
9,t_valuation_class,XFLD_DisplayName_ValuationClass,XTOL_DescriptionName_ValuationClass,"SELECT BKLAS FROM ""sap.plc.db::repl_st.t_t025"" WHERE BKLAS IS NOT NULL and MANDT = ''800''",,0,DISABLED
10,t_profit_center,XFLD_DisplayName_ProfitCenter,XTOL_DescriptionName_ProfitCenter,"SELECT (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(CEPC.PRCTR)=0 then CEPC.PRCTR else TRIM( LEADING ''0'' FROM CEPC.PRCTR )END) AS PRCTR, CEPC.KOKRS FROM ""sap.plc.db::repl_st.t_cepc"" as CEPC WHERE CEPC.PRCTR IS NOT NULL and CEPC.KOKRS is not NULL and CEPC.DATBI = (SELECT MAX(DATBI) FROM ""sap.plc.db::repl_st.t_cepc"" AS CEPC1 WHERE CEPC1.MANDT = ''800'' AND CEPC1.PRCTR = CEPC.PRCTR AND CEPC1.KOKRS = CEPC.KOKRS) AND CEPC.DATBI >= TO_DATS(CURRENT_DATE) and CEPC.MANDT = ''800''",,0,DISABLED
