DIMENSION_ID,LANGUAGE,DIMENSION_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
NONE,EN,None,2000-01-01 00:00:00.000,,1,#CONTROLLER
LENGTH,EN,Length,2000-01-01 00:00:00.000,,1,#CONTROLLER
AREA,EN,Area,2000-01-01 00:00:00.000,,1,#CONTROLLER
VOLUME,EN,Volume,2000-01-01 00:00:00.000,,1,#CONTROLLER
MASS,EN,Mass,2000-01-01 00:00:00.000,,1,#CONTROLLER
TIME,EN,Time,2000-01-01 00:00:00.000,,1,#CONTROLLER
DENSITY,EN,Density,2000-01-01 00:00:00.000,,1,#CONTROLLER
NONE,DE,Keine,2000-01-01 00:00:00.000,,1,#CONTROLLER
LENGTH,DE,Länge,2000-01-01 00:00:00.000,,1,#CONTROLLER
AREA,DE,Fläche,2000-01-01 00:00:00.000,,1,#CONTROLLER
VOLUME,DE,Volumen,2000-01-01 00:00:00.000,,1,#CONTROLLER
MASS,DE,Masse,2000-01-01 00:00:00.000,,1,#CONTROLLER
TIME,DE,Zeit,2000-01-01 00:00:00.000,,1,#CONTROLLER
DENSITY,DE,Dichte,2000-01-01 00:00:00.000,,1,#CONTROLLER
ENERGY,DE,Energie,2000-01-01 00:00:00.000,,1,#CONTROLLER
ENERGY,EN,Energy,2000-01-01 00:00:00.000,,1,#CONTROLLER
STORAGE,DE,Datenspeicher,2000-01-01 00:00:00.000,,1,#CONTROLLER
STORAGE,EN,Data Storage,2000-01-01 00:00:00.000,,1,#CONTROLLER
FREQUENCY,DE,Frequenz,2000-01-01 00:00:00.000,,1,#CONTROLLER
FREQUENCY,EN,Frequency,2000-01-01 00:00:00.000,,1,#CONTROLLER
TEMP,DE,Temperatur,2000-01-01 00:00:00.000,,1,#CONTROLLER
TEMP,EN,Temperature,2000-01-01 00:00:00.000,,1,#CONTROLLER
