ID,TABLE_NAME,COLUMN_NAME,FIELD_TYPE,IS_PK,MAPPED_COLUMN,MAPPED_COLUMN_DEFAULT,FIELD_ORDER,IS_MANDATORY,IS_NULLABLE,VALIDATION_REGEX,IS_CUSTOM,IS_UPPERCASE,LENGTH,SCALE,PRECISION,DESCRIPTION
1,t_account,ACCOUNT_ID,String,1,,KSTAR,1,1,0,MASTERDATA,0,1,10,,,XTOL_DescriptionName_Account
2,t_account,CONTROLLING_AREA_ID,String,1,,KOKRS,2,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
4,t_account__text,ACCOUNT_DESCRIPTION,String,0,,KTEXT,3,,1,,0,0,250,,,XTOL_DescriptionName_AccountDescription
5,t_account__text,ACCOUNT_ID,String,1,,KSTAR,1,1,0,,0,1,10,,,XTOL_DescriptionName_Account
6,t_account__text,CONTROLLING_AREA_ID,String,1,,KOKRS,2,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
7,t_account__text,LANGUAGE,String,1,,LANGU,4,,0,,0,0,,,,XTOL_DescriptionName_Language
8,t_activity_price,ACTIVITY_TYPE_ID,String,0,,ACTIVITY_TYPE_ID,1,1,0,,0,1,12,,,XTOL_DescriptionName_ActivityType
9,t_activity_price,CONTROLLING_AREA_ID,String,0,,CONTROLLING_AREA_ID,2,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
10,t_activity_price,COST_CENTER_ID,String,0,,COST_CENTER_ID,3,1,0,,0,1,10,,,XTOL_DescriptionName_CostCenter
11,t_activity_price,CUSTOMER_ID,String,0,,CUSTOMER_ID,4,1,0,,0,1,10,,,XTOL_DescriptionName_Customer
13,t_activity_price,PRICE_FIXED_PORTION,DECIMAL,0,,PRICE_FIXED_PORTION,6,0,1,,0,0,,7,28,XTOL_DescriptionName_PriceFixed
14,t_activity_price,PRICE_SOURCE_ID,String,0,,PRICE_SOURCE_ID,7,1,0,,0,1,20,,,XTOL_DescriptionName_PriceSource
15,t_activity_price,PRICE_UNIT,DECIMAL,0,,PRICE_UNIT,8,0,1,,0,0,,7,28,XTOL_DescriptionName_PriceUnit
16,t_activity_price,PRICE_UNIT_UOM_ID,String,0,,PRICE_UNIT_UOM_ID,9,0,1,,0,0,3,,,XTOL_DescriptionName_PriceUnitUoM
17,t_activity_price,PRICE_VARIABLE_PORTION,DECIMAL,0,,PRICE_VARIABLE_PORTION,10,0,1,,0,0,,7,28,XTOL_DescriptionName_PriceVariable
18,t_activity_price,PROJECT_ID,String,0,,PROJECT_ID,11,1,0,,0,0,35,,,XTOL_DescriptionName_Project
19,t_activity_price,TRANSACTION_CURRENCY_ID,String,0,,TRANSACTION_CURRENCY_ID,12,0,1,,0,1,5,,,XTOL_DescriptionName_TransactionCurrency
20,t_activity_price,VALID_FROM,DATE,0,,VALID_FROM,13,1,0,,0,0,,,,XTOL_DescriptionName_ValidFrom
21,t_activity_price,VALID_TO,DATE,0,,VALID_TO,14,0,1,,0,0,,,,XTOL_DescriptionName_ValidTo
22,t_activity_type,ACCOUNT_ID,String,0,,VKSTA,1,0,1,,0,1,10,,,XTOL_DescriptionName_Account
23,t_activity_type,ACTIVITY_TYPE_ID,String,1,,LSTAR,2,1,0,MASTERDATA,0,1,12,,,XTOL_DescriptionName_ActivityType
24,t_activity_type,CONTROLLING_AREA_ID,String,1,,KOKRS,3,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
25,t_activity_type__text,ACTIVITY_TYPE_DESCRIPTION,String,0,,KTEXT,1,0,1,,0,0,250,,,XTOL_DescriptionName_ActivityTypeDescription
26,t_activity_type__text,ACTIVITY_TYPE_ID,String,1,,LSTAR,2,1,0,,0,1,12,,,XTOL_DescriptionName_ActivityType
27,t_activity_type__text,CONTROLLING_AREA_ID,String,1,,KOKRS,3,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
28,t_activity_type__text,LANGUAGE,String,1,,LANGU,4,1,0,,0,0,11,,,XTOL_DescriptionName_Language
29,t_business_area,BUSINESS_AREA_ID,String,1,,GSBER,1,1,0,MASTERDATA,0,1,15,,,XTOL_DescriptionName_BusinessArea
30,t_business_area__text,BUSINESS_AREA_DESCRIPTION,String,0,,GTEXT,1,0,1,,0,0,250,,,XTOL_DescriptionName_BusinessAreaDescription
31,t_business_area__text,BUSINESS_AREA_ID,String,1,,GSBER,2,1,0,,0,1,15,,,XTOL_DescriptionName_BusinessArea
32,t_business_area__text,LANGUAGE,String,1,,LANGU,3,1,0,,0,0,11,,,XTOL_DescriptionName_Language
33,t_company_code,COMPANY_CODE_CURRENCY_ID,String,0,,WAERS,1,0,1,,0,1,3,,,XTOL_DescriptionName_Currency
34,t_company_code,COMPANY_CODE_ID,String,1,,BUKRS,2,1,0,MASTERDATA,0,1,4,,,XTOL_DescriptionName_CompantCide
35,t_company_code,CONTROLLING_AREA_ID,String,0,,KOKRS,3,0,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
36,t_company_code__text,COMPANY_CODE_DESCRIPTION,String,0,,BUTXT,1,0,1,,0,0,250,,,XTOL_DescriptionName_CompanyCodeDescription
37,t_company_code__text,COMPANY_CODE_ID,String,1,,BUKRS,2,1,0,,0,1,4,,,XTOL_DescriptionName_CompanyCode
38,t_company_code__text,LANGUAGE,String,1,,LANGU,3,1,0,,0,0,11,,,XTOL_DescriptionName_Language
39,t_controlling_area,CONTROLLING_AREA_CURRENCY_ID,String,0,,WAERS,1,0,1,,0,1,3,,,XTOL_DescriptionName_Currency
40,t_controlling_area,CONTROLLING_AREA_ID,String,1,,KOKRS,2,1,0,MASTERDATA,0,1,4,,,XTOL_DescriptionName_ControllingArea
41,t_controlling_area__text,CONTROLLING_AREA_DESCRIPTION,String,0,,BEZEI,1,0,1,,0,0,250,,,XTOL_DescriptionName_ControllingAreaDescription
42,t_controlling_area__text,CONTROLLING_AREA_ID,String,1,,KOKRS,2,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
43,t_controlling_area__text,LANGUAGE,String,1,,LANGU,3,1,0,,0,0,11,,,XTOL_DescriptionName_Language
44,t_cost_center,CONTROLLING_AREA_ID,String,1,,KOKRS,1,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
45,t_cost_center,COST_CENTER_ID,String,1,,KOSTL,2,1,0,MASTERDATA,0,1,10,,,XTOL_DescriptionName_CostCenter
46,t_cost_center__text,CONTROLLING_AREA_ID,String,1,,KOKRS,1,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
47,t_cost_center__text,COST_CENTER_DESCRIPTION,String,0,,KTEXT,2,0,1,,0,0,250,,,XTOL_DescriptionName_CostCenterDescription
48,t_cost_center__text,COST_CENTER_ID,String,1,,KOSTL,3,1,0,,0,1,10,,,XTOL_DescriptionName_CostCenter
49,t_cost_center__text,LANGUAGE,String,1,,LANGU,4,1,0,,0,0,11,,,XTOL_DescriptionName_Language
50,t_currency_conversion,EXCHANGE_RATE_TYPE_ID,String,1,,EXCHANGE_RATE_TYPE_ID,1,1,0,,0,0,20,,,XTOL_DescriptionName_ExchangeRateType
51,t_currency_conversion,FROM_CURRENCY_ID,String,1,,FCURR,2,1,0,,0,1,3,,,XTOL_DescriptionName_FromCurrency
52,t_currency_conversion,FROM_FACTOR,INTEGER,0,,FFACT,3,1,0,,0,0,,,,XTOL_DescriptionName_FromFactor
53,t_currency_conversion,RATE,DECIMAL,0,,UKURS,4,1,0,,0,0,,7,24,XTOL_DescriptionName_Rate
54,t_currency_conversion,TO_CURRENCY_ID,String,1,,TCURR,5,1,0,,0,1,3,,,XTOL_DescriptionName_ToCurrency
55,t_currency_conversion,TO_FACTOR,INTEGER,0,,TFACT,6,1,0,,0,0,,,,XTOL_DescriptionName_ToFactor
56,t_currency_conversion,VALID_FROM,DATE,1,,VALID_FROM,7,1,0,,0,0,,,,XTOL_DescriptionName_ValidFromDate
57,t_customer,CITY,String,0,,ORT01,6,0,1,,0,0,100,,,XTOL_DescriptionName_City
