ITEM_CATEGORY_ID,DISPLAY_ORDER,CHILD_ITEM_CATEGORY_ID,ICON,CREATED_ON,CREATED_BY,LAST_MODIFIED_ON,LAST_MODIFIED_BY,ITEM_CATEGORY_CODE
-1,-1,-1,KEY,,,,,KEY
0,0,0,\ue1d7,,,,,CALCULATION VERSION
1,1,1,\ue1b4,,,,,DOCUMENT
2,2,2,\ue080,,,,,MATERIAL
3,3,3,\ue0a6,,,,,INTERNAL ACTIVITY
4,4,4,\ue078,,,,,EXTERNAL ACTIVITY
5,5,5,\ue0c7,,,,,PROCESS
6,6,6,\ue13f,,,,,SUBCONTRACTING
7,7,7,\ue002,,,,,RESOURCES AND TOOLS
8,8,8,\ue206,,,,,VARIABLE ITEM
9,9,9,\ue1a3,,,,,TEXT ITEM
10,10,10,\ue1d1,,,,,REFERENCED VERSION
