MATERIAL_ID,PLANT_ID,OVERHEAD_GROUP_ID,VALUATION_CLASS_ID,MATERIAL_LOT_SIZE,MATERIAL_LOT_SIZE_UOM_ID,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#MA1,#PT1,#OG1,#VC1,100,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA2,#PT2,,#VC2,200,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA3,#PT3,,#VC3,300,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#P-100,#PT1,#OG1,#VC1,1000,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-100,#PT1,#OG2,#VC2,100,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-110,#PT1,#OG3,#VC3,10,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-120,#PT1,#OG3,#VC3,20,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-130,#PT1,#OG3,#VC3,30,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-200,#PT1,#OG2,#VC2,200,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-210,#PT1,#OG3,#VC3,10,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-300,#PT2,,#VC2,300,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-310,#PT2,,#VC3,10,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#P-100,#PT4,,#VC1,2000,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-100,#PT4,,#VC2,200,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-110,#PT4,#OG6,#VC3,20,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-120,#PT4,#OG6,#VC3,40,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-130,#PT4,#OG6,#VC3,60,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-200,#PT4,,#VC2,400,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-210,#PT4,,#VC3,20,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-300,#PT5,,#VC2,600,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#100-310,#PT5,,#VC3,20,PC,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P11_#V11,#P11,,#V11,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P11_#V12,#P11,,#V12,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P11_#RAW_#V11,#P11,,#V11,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P11_#RAW_#V12,#P11,,#V12,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P11_#FIN_#V11,#P11,,#V11,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P11_#FIN_#V12,#P11,,#V12,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P12_#V11,#P12,,#V11,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P12_#V12,#P12,,#V12,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P12_#RAW_#V11,#P12,,#V11,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P12_#RAW_#V12,#P12,,#V12,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P12_#FIN_#V11,#P12,,#V11,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P12_#FIN_#V12,#P12,,#V12,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#MA_#P13_#V13,#P13,,#V13,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
