PATH,BUSINESS_OBJECT,COLUMN_ID,ITEM_CATEGORY_ID,SUBITEM_STATE,IS_MANDATORY,IS_READ_ONLY,IS_TRANSFERABLE,DEFAULT_VALUE,CREATED_ON,CREATED_BY,LAST_MODIFIED_ON,LAST_MODIFIED_BY
Project,Project,PROJECT_ID,-1,-1,1,,,,,,,
Project,Project,REFERENCE_PROJECT_ID,-1,-1,,,,,,,,
Project,Project,PROJECT_NAME,-1,-1,1,,,,,,,
Project,Project,PROJECT_RESPONSIBLE,-1,-1,,,,,,,,
Project,Project,CONTROLLING_AREA_ID,-1,-1,1,,,,,,,
Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,-1,-1,1,,,,,,,
Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION,-1,-1,,1,,,,,,
Project,Project,CUSTOMER_ID,-1,-1,,,,,,,,
Project.Customer,Customer,CUSTOMER_ID,-1,-1,,,,,,,,
Project.Customer,Customer,CUSTOMER_NAME,-1,-1,,1,,,,,,
Project,Project,SALES_DOCUMENT,-1,-1,,,,,,,,
Project,Project,SALES_PRICE,-1,-1,,,,,,,,
Project,Project,SALES_PRICE_CURRENCY_ID,-1,-1,,,,EUR,,,,
Project,Project,COMMENT,-1,-1,,,,,,,,
Project,Project,PLANT_ID,-1,-1,,,,,,,,
Project.Plant,Plant,PLANT_ID,-1,-1,,,,,,,,
Project.Plant,Plant,PLANT_DESCRIPTION,-1,-1,,1,,,,,,
Project,Project,COMPANY_CODE_ID,-1,-1,,,,,,,,
Project.Company_Code,Company_Code,COMPANY_CODE_ID,-1,-1,,,,,,,,
Project.Company_Code,Company_Code,COMPANY_CODE_DESCRIPTION,-1,-1,,1,,,,,,
Project,Project,BUSINESS_AREA_ID,-1,-1,,,,,,,,
Project.Business_Area,Business_Area,BUSINESS_AREA_ID,-1,-1,,,,,,,,
Project.Business_Area,Business_Area,BUSINESS_AREA_DESCRIPTION,-1,-1,,1,,,,,,
Project,Project,PROFIT_CENTER_ID,-1,-1,,,,,,,,
Project.Profit_Center,Profit_Center,PROFIT_CENTER_ID,-1,-1,,,,,,,,
Project.Profit_Center,Profit_Center,PROFIT_CENTER_DESCRIPTION,-1,-1,,1,,,,,,
Project,Project,REPORT_CURRENCY_ID,-1,-1,1,,,EUR,,,,
Project,Project,COSTING_SHEET_ID,-1,-1,,,,,,,,
Project.Costing_Sheet,Costing_Sheet,COSTING_SHEET_ID,-1,-1,,,,,,,,
Project.Costing_Sheet,Costing_Sheet,COSTING_SHEET_DESCRIPTION,-1,-1,,1,,,,,,
Project,Project,COMPONENT_SPLIT_ID,-1,-1,,,,,,,,
Project.Component_Split,Component_Split,COMPONENT_SPLIT_ID,-1,-1,,,,,,,,
Project.Component_Split,Component_Split,COMPONENT_SPLIT_DESCRIPTION,-1,-1,,1,,,,,,
Project,Project,START_OF_PROJECT,-1,-1,,,,,,,,
Project,Project,END_OF_PROJECT,-1,-1,,,,,,,,
Project,Project,START_OF_PRODUCTION,-1,-1,,,,,,,,
Project,Project,END_OF_PRODUCTION,-1,-1,,,,,,,,
Project,Project,VALUATION_DATE,-1,-1,,,,,,,,
Project,Project,LIFECYCLE_VALUATION_DATE,-1,-1,,,,,,,,
Project,Project,LIFECYCLE_PERIOD_INTERVAL,-1,-1,,,,12,,,,
Project,Project,CREATED_ON,-1,-1,,1,,,,,,
Project,Project,CREATED_BY,-1,-1,,1,,,,,,
Project,Project,LAST_MODIFIED_ON,-1,-1,,1,,,,,,
Project,Project,LAST_MODIFIED_BY,-1,-1,,1,,,,,,
Item,Item,REFERENCED_CALCULATION_VERSION_ID,10,-1,1,1,1,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,CALCULATION_VERSION_ID,10,-1,1,1,1,,,,,
Item.Referenced_Calculation_Version.Calculation.Project,Project,PROJECT_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Calculation.Project,Project,PROJECT_NAME,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Calculation.Project,Project,REFERENCE_PROJECT_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Calculation,Calculation,CALCULATION_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Calculation,Calculation,CALCULATION_NAME,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Calculation.Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Calculation.Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,CALCULATION_VERSION_NAME,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,IS_FROZEN,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Customer,Customer,CUSTOMER_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Customer,Customer,CUSTOMER_NAME,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,SALES_PRICE,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,SALES_PRICE_CURRENCY_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,SALES_DOCUMENT,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Costing_Sheet,Costing_Sheet,COSTING_SHEET_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Costing_Sheet,Costing_Sheet,COSTING_SHEET_DESCRIPTION,10,-1,,1,,,,,,
Item,Item,ACCOUNT_ID,10,-1,,,,,,,,
Item.Account,Account,ACCOUNT_ID,10,-1,,,,,,,,
Item.Account,Account,ACCOUNT_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item,Item,ENGINEERING_CHANGE_NUMBER_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item,Item,COMMENT,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,START_OF_PRODUCTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,END_OF_PRODUCTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,VALUATION_DATE,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,MASTER_DATA_TIMESTAMP,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Document_Type,Document_Type,DOCUMENT_TYPE_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Document,Document,DOCUMENT_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Document,Document,DOCUMENT_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Document,Document,DOCUMENT_PART,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Document,Document,DOCUMENT_VERSION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Document_Status,Document_Status,DOCUMENT_STATUS_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Document_Status,Document_Status,DOCUMENT_STATUS_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Design_Office,Design_Office,DESIGN_OFFICE_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Design_Office,Design_Office,DESIGN_OFFICE_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Material,Material,MATERIAL_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Material,Material,MATERIAL_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Material,Material,_SOURCE,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Material_Type,Material_Type,MATERIAL_TYPE_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Material_Type,Material_Type,MATERIAL_TYPE_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Material_Group,Material_Group,MATERIAL_GROUP_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Material_Group,Material_Group,MATERIAL_GROUP_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item,Item,IS_PHANTOM_MATERIAL,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item,Item,IS_CONFIGURABLE_MATERIAL,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item,Item,IS_RELEVANT_TO_COSTING_IN_ERP,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,CALCULATION_VERSION_TYPE,10,-1,,1,,1,,,,
Item.Referenced_Calculation_Version,Calculation_Version,LIFECYCLE_PERIOD_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,LIFECYCLE_PERIOD_FROM,10,-1,,1,,,,,,
Item.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID,10,-1,,1,,,,,,
Item.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Valuation_Class,Valuation_Class,VALUATION_CLASS_DESCRIPTION,10,-1,,1,,,,,,
Item.Plant,Plant,PLANT_ID,10,-1,,1,,,,,,
Item.Plant,Plant,PLANT_DESCRIPTION,10,-1,,1,,,,,,
Item.Company_Code,Company_Code,COMPANY_CODE_ID,10,-1,,1,,,,,,
Item.Company_Code,Company_Code,COMPANY_CODE_DESCRIPTION,10,-1,,1,,,,,,
Item.Business_Area,Business_Area,BUSINESS_AREA_ID,10,-1,,1,,,,,,
Item.Business_Area,Business_Area,BUSINESS_AREA_DESCRIPTION,10,-1,,1,,,,,,
Item.Profit_Center,Profit_Center,PROFIT_CENTER_ID,10,-1,,1,,,,,,
Item.Profit_Center,Profit_Center,PROFIT_CENTER_DESCRIPTION,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Vendor,Vendor,VENDOR_ID,10,-1,,1,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Vendor,Vendor,VENDOR_NAME,10,-1,,1,,,,,,
Item,Item,ITEM_ID,-1,-1,1,1,1,,,,,
Item,Item,CALCULATION_VERSION_ID,-1,-1,1,1,1,,,,,
Item,Item,PARENT_ITEM_ID,-1,-1,,,,,,,,
Item,Item,PREDECESSOR_ITEM_ID,-1,-1,,,,,,,,
Item,Item,IS_ACTIVE,-1,-1,1,,,1,,,,
Item,Item,ITEM_CATEGORY_ID,1,-1,1,,,,,,,
Item,Item,ITEM_CATEGORY_ID,2,-1,1,,,,,,,
Item,Item,ITEM_CATEGORY_ID,3,-1,1,,,,,,,
Item,Item,ITEM_CATEGORY_ID,4,-1,1,,,,,,,
Item,Item,ITEM_CATEGORY_ID,5,-1,1,,,,,,,
Item,Item,ITEM_CATEGORY_ID,6,-1,1,,,,,,,
Item,Item,ITEM_CATEGORY_ID,7,-1,1,,,,,,,
Item,Item,ITEM_CATEGORY_ID,8,-1,1,,,,,,,
Item,Item,ITEM_CATEGORY_ID,9,-1,1,,,,,,,
Item,Item,ITEM_CATEGORY_ID,10,-1,1,1,1,,,,,
Item,Item,ITEM_DESCRIPTION,1,-1,,,,,,,,
Item,Item,ITEM_DESCRIPTION,2,-1,,,,,,,,
Item,Item,ITEM_DESCRIPTION,3,-1,,,,,,,,
Item,Item,ITEM_DESCRIPTION,4,-1,,,,,,,,
Item,Item,ITEM_DESCRIPTION,5,-1,,,,,,,,
Item,Item,ITEM_DESCRIPTION,6,-1,,,,,,,,
Item,Item,ITEM_DESCRIPTION,7,-1,,,,,,,,
Item,Item,ITEM_DESCRIPTION,8,-1,,,,,,,,
Item,Item,ITEM_DESCRIPTION,9,-1,,,,,,,,
Item,Item,DOCUMENT_TYPE_ID,0,-1,,,1,,,,,
Item,Item,DOCUMENT_TYPE_ID,1,-1,,,1,,,,,
Item,Item,DOCUMENT_TYPE_ID,2,-1,,,1,,,,,
Item,Item,DOCUMENT_TYPE_ID,8,-1,,,1,,,,,
Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID,0,-1,,,1,,,,,
Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID,1,-1,,,1,,,,,
Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID,2,-1,,,1,,,,,
Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID,8,-1,,,1,,,,,
Item.Document_Type,Document_Type,DOCUMENT_TYPE_DESCRIPTION,0,-1,,1,,,,,,
Item.Document_Type,Document_Type,DOCUMENT_TYPE_DESCRIPTION,1,-1,,1,,,,,,
Item.Document_Type,Document_Type,DOCUMENT_TYPE_DESCRIPTION,2,-1,,1,,,,,,
Item.Document_Type,Document_Type,DOCUMENT_TYPE_DESCRIPTION,8,-1,,1,,,,,,
Item,Item,DOCUMENT_ID,0,-1,,,,,,,,
Item,Item,DOCUMENT_ID,1,-1,,,,,,,,
Item,Item,DOCUMENT_ID,2,-1,,,,,,,,
Item,Item,DOCUMENT_ID,8,-1,,,,,,,,
Item.Document,Document,DOCUMENT_ID,0,-1,,,,,,,,
Item.Document,Document,DOCUMENT_ID,1,-1,,,,,,,,
Item.Document,Document,DOCUMENT_ID,2,-1,,,,,,,,
Item.Document,Document,DOCUMENT_ID,8,-1,,,,,,,,
Item.Document,Document,DOCUMENT_DESCRIPTION,0,-1,,1,,,,,,
Item.Document,Document,DOCUMENT_DESCRIPTION,1,-1,,1,,,,,,
Item.Document,Document,DOCUMENT_DESCRIPTION,2,-1,,1,,,,,,
Item.Document,Document,DOCUMENT_DESCRIPTION,8,-1,,1,,,,,,
Item,Item,DOCUMENT_VERSION,0,-1,,,1,,,,,
Item,Item,DOCUMENT_VERSION,1,-1,,,1,,,,,
Item,Item,DOCUMENT_VERSION,2,-1,,,1,,,,,
Item,Item,DOCUMENT_VERSION,8,-1,,,1,,,,,
Item.Document,Document,DOCUMENT_VERSION,0,-1,,,1,,,,,
Item.Document,Document,DOCUMENT_VERSION,1,-1,,,1,,,,,
Item.Document,Document,DOCUMENT_VERSION,2,-1,,,1,,,,,
Item.Document,Document,DOCUMENT_VERSION,8,-1,,,1,,,,,
Item,Item,DOCUMENT_PART,0,-1,,,1,,,,,
Item,Item,DOCUMENT_PART,1,-1,,,1,,,,,
Item,Item,DOCUMENT_PART,2,-1,,,1,,,,,
Item,Item,DOCUMENT_PART,8,-1,,,1,,,,,
Item.Document,Document,DOCUMENT_PART,0,-1,,,1,,,,,
Item.Document,Document,DOCUMENT_PART,1,-1,,,1,,,,,
Item.Document,Document,DOCUMENT_PART,2,-1,,,1,,,,,
Item.Document,Document,DOCUMENT_PART,8,-1,,,1,,,,,
Item,Item,DOCUMENT_STATUS_ID,0,-1,,,1,,,,,
Item,Item,DOCUMENT_STATUS_ID,1,-1,,,1,,,,,
Item,Item,DOCUMENT_STATUS_ID,2,-1,,,1,,,,,
Item,Item,DOCUMENT_STATUS_ID,8,-1,,,1,,,,,
Item.Document_Status,Document_Status,DOCUMENT_STATUS_ID,0,-1,,,1,,,,,
Item.Document_Status,Document_Status,DOCUMENT_STATUS_ID,1,-1,,,1,,,,,
Item.Document_Status,Document_Status,DOCUMENT_STATUS_ID,2,-1,,,1,,,,,
Item.Document_Status,Document_Status,DOCUMENT_STATUS_ID,8,-1,,,1,,,,,
Item.Document_Status,Document_Status,DOCUMENT_STATUS_DESCRIPTION,0,-1,,1,,,,,,
Item.Document_Status,Document_Status,DOCUMENT_STATUS_DESCRIPTION,1,-1,,1,,,,,,
Item.Document_Status,Document_Status,DOCUMENT_STATUS_DESCRIPTION,2,-1,,1,,,,,,
Item.Document_Status,Document_Status,DOCUMENT_STATUS_DESCRIPTION,8,-1,,1,,,,,,
Item,Item,DESIGN_OFFICE_ID,0,-1,,,1,,,,,
Item,Item,DESIGN_OFFICE_ID,1,-1,,,1,,,,,
Item,Item,DESIGN_OFFICE_ID,2,-1,,,1,,,,,
Item,Item,DESIGN_OFFICE_ID,8,-1,,,1,,,,,
Item.Design_Office,Design_Office,DESIGN_OFFICE_ID,0,-1,,,1,,,,,
Item.Design_Office,Design_Office,DESIGN_OFFICE_ID,1,-1,,,1,,,,,
Item.Design_Office,Design_Office,DESIGN_OFFICE_ID,2,-1,,,1,,,,,
Item.Design_Office,Design_Office,DESIGN_OFFICE_ID,8,-1,,,1,,,,,
Item.Design_Office,Design_Office,DESIGN_OFFICE_DESCRIPTION,0,-1,,1,,,,,,
Item.Design_Office,Design_Office,DESIGN_OFFICE_DESCRIPTION,1,-1,,1,,,,,,
Item.Design_Office,Design_Office,DESIGN_OFFICE_DESCRIPTION,2,-1,,1,,,,,,
Item.Design_Office,Design_Office,DESIGN_OFFICE_DESCRIPTION,8,-1,,1,,,,,,
Item,Item,MATERIAL_ID,0,-1,,,,,,,,
Item,Item,MATERIAL_ID,1,-1,,,,,,,,
Item,Item,MATERIAL_ID,2,-1,,,,,,,,
Item,Item,MATERIAL_ID,4,-1,,,,,,,,
Item,Item,MATERIAL_ID,6,-1,,,,,,,,
Item,Item,MATERIAL_ID,8,-1,,,,,,,,
Item.Material,Material,MATERIAL_ID,0,-1,,,,,,,,
Item.Material,Material,MATERIAL_ID,1,-1,,,,,,,,
Item.Material,Material,MATERIAL_ID,2,-1,,,,,,,,
Item.Material,Material,MATERIAL_ID,4,-1,,,,,,,,
Item.Material,Material,MATERIAL_ID,6,-1,,,,,,,,
Item.Material,Material,MATERIAL_ID,8,-1,,,,,,,,
Item.Material,Material,MATERIAL_DESCRIPTION,0,-1,,1,,,,,,
Item.Material,Material,MATERIAL_DESCRIPTION,1,-1,,1,,,,,,
Item.Material,Material,MATERIAL_DESCRIPTION,2,-1,,1,,,,,,
Item.Material,Material,MATERIAL_DESCRIPTION,4,-1,,1,,,,,,
Item.Material,Material,MATERIAL_DESCRIPTION,6,-1,,1,,,,,,
Item.Material,Material,MATERIAL_DESCRIPTION,8,-1,,1,,,,,,
Item,Item,IS_RELEVANT_TO_COSTING_IN_ERP,0,-1,,,,0,,,,
Item,Item,IS_RELEVANT_TO_COSTING_IN_ERP,1,-1,,,,0,,,,
Item,Item,IS_RELEVANT_TO_COSTING_IN_ERP,2,-1,,,,0,,,,
Item,Item,IS_RELEVANT_TO_COSTING_IN_ERP,4,-1,,,,0,,,,
Item,Item,IS_RELEVANT_TO_COSTING_IN_ERP,6,-1,,,,0,,,,
Item,Item,IS_RELEVANT_TO_COSTING_IN_ERP,8,-1,,,,0,,,,
Item,Item,IS_PHANTOM_MATERIAL,0,-1,,,,0,,,,
Item,Item,IS_PHANTOM_MATERIAL,1,-1,,,,0,,,,
Item,Item,IS_PHANTOM_MATERIAL,2,-1,,,,0,,,,
Item,Item,IS_PHANTOM_MATERIAL,4,-1,,,,0,,,,
Item,Item,IS_PHANTOM_MATERIAL,6,-1,,,,0,,,,
Item,Item,IS_PHANTOM_MATERIAL,8,-1,,,,0,,,,
Item,Item,IS_CONFIGURABLE_MATERIAL,0,-1,,,,0,,,,
Item,Item,IS_CONFIGURABLE_MATERIAL,1,-1,,,,0,,,,
Item,Item,IS_CONFIGURABLE_MATERIAL,2,-1,,,,0,,,,
Item,Item,IS_CONFIGURABLE_MATERIAL,4,-1,,,,0,,,,
Item,Item,IS_CONFIGURABLE_MATERIAL,6,-1,,,,0,,,,
Item,Item,IS_CONFIGURABLE_MATERIAL,8,-1,,,,0,,,,
Item.Material,Material,_SOURCE,0,-1,,1,,,,,,
Item.Material,Material,_SOURCE,1,-1,,1,,,,,,
Item.Material,Material,_SOURCE,2,-1,,1,,,,,,
Item.Material,Material,_SOURCE,4,-1,,1,,,,,,
Item.Material,Material,_SOURCE,6,-1,,1,,,,,,
Item.Material,Material,_SOURCE,8,-1,,1,,,,,,
Item,Item,WORK_CENTER_ID,3,-1,,,,,,,,
Item,Item,WORK_CENTER_ID,8,-1,,,,,,,,
Item.Work_Center,Work_Center,WORK_CENTER_ID,3,-1,,,,,,,,
Item.Work_Center,Work_Center,WORK_CENTER_ID,8,-1,,,,,,,,
Item.Work_Center,Work_Center,WORK_CENTER_DESCRIPTION,3,-1,,1,,,,,,
Item.Work_Center,Work_Center,WORK_CENTER_DESCRIPTION,8,-1,,1,,,,,,
Item,Item,COST_CENTER_ID,3,-1,,,,,,,,
Item,Item,COST_CENTER_ID,8,-1,,,,,,,,
Item.Cost_Center,Cost_Center,COST_CENTER_ID,3,-1,,,,,,,,
Item.Cost_Center,Cost_Center,COST_CENTER_ID,8,-1,,,,,,,,
Item.Cost_Center,Cost_Center,COST_CENTER_DESCRIPTION,3,-1,,1,,,,,,
Item.Cost_Center,Cost_Center,COST_CENTER_DESCRIPTION,8,-1,,1,,,,,,
Item,Item,ACTIVITY_TYPE_ID,3,-1,,,,,,,,
Item,Item,ACTIVITY_TYPE_ID,8,-1,,,,,,,,
Item.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID,3,-1,,,,,,,,
Item.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID,8,-1,,,,,,,,
Item.Activity_Type,Activity_Type,ACTIVITY_TYPE_DESCRIPTION,3,-1,,1,,,,,,
Item.Activity_Type,Activity_Type,ACTIVITY_TYPE_DESCRIPTION,8,-1,,1,,,,,,
Item,Item,PROCESS_ID,5,-1,,,,,,,,
Item.Process,Process,PROCESS_ID,5,-1,,,,,,,,
Item.Process,Process,PROCESS_DESCRIPTION,5,-1,,1,,,,,,
Item,Item,PLANT_ID,0,-1,,,,,,,,
Item,Item,PLANT_ID,1,-1,,,,,,,,
Item,Item,PLANT_ID,2,-1,,,,,,,,
Item,Item,PLANT_ID,3,-1,,,,,,,,
Item,Item,PLANT_ID,4,-1,,,,,,,,
Item,Item,PLANT_ID,5,-1,,,,,,,,
Item,Item,PLANT_ID,6,-1,,,,,,,,
Item,Item,PLANT_ID,7,-1,,,,,,,,
Item,Item,PLANT_ID,8,-1,,,,,,,,
Item.Plant,Plant,PLANT_ID,0,-1,,,,,,,,
Item.Plant,Plant,PLANT_ID,1,-1,,,,,,,,
Item.Plant,Plant,PLANT_ID,2,-1,,,,,,,,
Item.Plant,Plant,PLANT_ID,3,-1,,,,,,,,
Item.Plant,Plant,PLANT_ID,4,-1,,,,,,,,
Item.Plant,Plant,PLANT_ID,5,-1,,,,,,,,
Item.Plant,Plant,PLANT_ID,6,-1,,,,,,,,
Item.Plant,Plant,PLANT_ID,7,-1,,,,,,,,
Item.Plant,Plant,PLANT_ID,8,-1,,,,,,,,
Item.Plant,Plant,PLANT_DESCRIPTION,0,-1,,1,,,,,,
Item.Plant,Plant,PLANT_DESCRIPTION,1,-1,,1,,,,,,
Item.Plant,Plant,PLANT_DESCRIPTION,2,-1,,1,,,,,,
Item.Plant,Plant,PLANT_DESCRIPTION,3,-1,,1,,,,,,
Item.Plant,Plant,PLANT_DESCRIPTION,4,-1,,1,,,,,,
Item.Plant,Plant,PLANT_DESCRIPTION,5,-1,,1,,,,,,
Item.Plant,Plant,PLANT_DESCRIPTION,6,-1,,1,,,,,,
