PATH,BUSINESS_OBJECT,COLUMN_ID,DISPLAY_ORDER,DISPLAYED_PATH,DISPLAYED_BUSINESS_OBJECT,DISPLAYED_COLUMN_ID
Item.Account,Account,ACCOUNT_ID,1,Item.Account,Account,ACCOUNT_ID
Item.Account,Account,ACCOUNT_ID,2,Item.Account,Account,ACCOUNT_DESCRIPTION
Item.Cost_Center,Cost_Center,COST_CENTER_ID,1,Item.Cost_Center,Cost_Center,COST_CENTER_ID
Item.Cost_Center,Cost_Center,COST_CENTER_ID,2,Item.Cost_Center,Cost_Center,COST_CENTER_DESCRIPTION
Item.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID,1,Item.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID
Item.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID,2,Item.Activity_Type,Activity_Type,ACTIVITY_TYPE_DESCRIPTION
Item.Profit_Center,Profit_Center,PROFIT_CENTER_ID,1,Item.Profit_Center,Profit_Center,PROFIT_CENTER_ID
Item.Profit_Center,Profit_Center,PROFIT_CENTER_ID,2,Item.Profit_Center,Profit_Center,PROFIT_CENTER_DESCRIPTION
Item.Company_Code,Company_Code,COMPANY_CODE_ID,1,Item.Company_Code,Company_Code,COMPANY_CODE_ID
Item.Company_Code,Company_Code,COMPANY_CODE_ID,2,Item.Company_Code,Company_Code,COMPANY_CODE_DESCRIPTION
Item.Plant,Plant,PLANT_ID,1,Item.Plant,Plant,PLANT_ID
Item.Plant,Plant,PLANT_ID,2,Item.Plant.Company_Code,Company_Code,COMPANY_CODE_ID
Item.Plant,Plant,PLANT_ID,3,Item.Plant,Plant,PLANT_DESCRIPTION
Item.Process,Process,PROCESS_ID,1,Item.Process,Process,PROCESS_ID
Item.Process,Process,PROCESS_ID,2,Item.Process,Process,PROCESS_DESCRIPTION
Item.Business_Area,Business_Area,BUSINESS_AREA_ID,1,Item.Business_Area,Business_Area,BUSINESS_AREA_ID
Item.Business_Area,Business_Area,BUSINESS_AREA_ID,2,Item.Business_Area,Business_Area,BUSINESS_AREA_DESCRIPTION
Item.Vendor,Vendor,VENDOR_ID,1,Item.Vendor,Vendor,VENDOR_ID
Item.Vendor,Vendor,VENDOR_ID,2,Item.Vendor,Vendor,VENDOR_NAME
Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID,1,Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID
Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID,2,Item.Document_Type,Document_Type,DOCUMENT_TYPE_DESCRIPTION
Item.Document,Document,DOCUMENT_ID,1,Item.Document.Document_Type,Document_Type,DOCUMENT_TYPE_ID
Item.Document,Document,DOCUMENT_ID,2,Item.Document,Document,DOCUMENT_ID
Item.Document,Document,DOCUMENT_ID,3,Item.Document,Document,DOCUMENT_PART
Item.Document,Document,DOCUMENT_ID,4,Item.Document,Document,DOCUMENT_VERSION
Item.Document,Document,DOCUMENT_ID,5,Item.Document,Document,DOCUMENT_DESCRIPTION
Item.Material,Material,MATERIAL_ID,1,Item.Material,Material,MATERIAL_ID
Item.Material,Material,MATERIAL_ID,2,Item.Material,Material,MATERIAL_DESCRIPTION
Item.Document_Status,Document_Status,DOCUMENT_STATUS_ID,1,Item.Document_Status,Document_Status,DOCUMENT_STATUS_ID
Item.Document_Status,Document_Status,DOCUMENT_STATUS_ID,2,Item.Document_Status,Document_Status,DOCUMENT_STATUS_DESCRIPTION
Item.Design_Office,Design_Office,DESIGN_OFFICE_ID,1,Item.Design_Office,Design_Office,DESIGN_OFFICE_ID
Item.Design_Office,Design_Office,DESIGN_OFFICE_ID,2,Item.Design_Office,Design_Office,DESIGN_OFFICE_DESCRIPTION
Item.Material_Type,Material_Type,MATERIAL_TYPE_ID,1,Item.Material_Type,Material_Type,MATERIAL_TYPE_ID
Item.Material_Type,Material_Type,MATERIAL_TYPE_ID,2,Item.Material_Type,Material_Type,MATERIAL_TYPE_DESCRIPTION
Item.Material_Group,Material_Group,MATERIAL_GROUP_ID,1,Item.Material_Group,Material_Group,MATERIAL_GROUP_ID
