PRICE_SOURCE_ID,PRICE_SOURCE_TYPE_ID,CONFIDENCE_LEVEL_ID,DETERMINATION_SEQUENCE,CREATED_ON,CREATED_BY,LAST_MODIFIED_ON,LAST_MODIFIED_BY
PLC_PROJECT_PRICE,1,5,1,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PLC_VENDOR_PRICE,1,4,2,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PLC_STANDARD_PRICE,1,3,3,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
ERP_STANDARD_PRICE,1,4,4,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PLC_PROJECT_PRICE,2,5,1,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PLC_PLANNED_PRICE,2,4,2,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PLC_STANDARD_PRICE,2,3,3,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PLC_MANUAL_PRICE,3,,0,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PLC_CALCULATED_PRICE,4,,0,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PLC_SURCHARGED_PRICE,5,,0,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PLC_CUSTOMER_PRICE,1,5,5,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
PLC_CUSTOMER_PRICE,2,5,4,2000-01-01 00:00:00.0000000,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
