PRICE_SOURCE_ID,PRICE_SOURCE_TYPE_ID,LANGUAGE,PRICE_SOURCE_DESCRIPTION
PLC_PROJECT_PRICE,1,DE,Projektpreis (SAP PLC)
PLC_VENDOR_PRICE,1,DE,Lieferantenpreis (SAP PLC)
PLC_STANDARD_PRICE,1,DE,Standardpreis (SAP PLC)
ERP_STANDARD_PRICE,1,DE,Standardpreis (SAP ERP)
PLC_PROJECT_PRICE,2,DE,Projektpreis (SAP PLC)
PLC_PLANNED_PRICE,2,DE,Planpreis (SAP PLC)
PLC_STANDARD_PRICE,2,DE,Standardpreis (SAP PLC)
PLC_MANUAL_PRICE,3,DE,Manueller Preis
PLC_CALCULATED_PRICE,4,DE,Kalkulierte Kosten
PLC_PROJECT_PRICE,1,EN,Project price (SAP PLC)
PLC_VENDOR_PRICE,1,EN,Vendor price (SAP PLC)
PLC_STANDARD_PRICE,1,EN,Standard Price (SAP PLC)
ERP_STANDARD_PRICE,1,EN,Standard Price (SAP ERP)
PLC_PROJECT_PRICE,2,EN,Project price (SAP PLC)
PLC_PLANNED_PRICE,2,EN,Planned price (SAP PLC)
PLC_STANDARD_PRICE,2,EN,Standard Price (SAP PLC)
PLC_MANUAL_PRICE,3,EN,Manual Price
PLC_CALCULATED_PRICE,4,EN,Calculated Cost
PLC_SURCHARGED_PRICE,5,EN,Surcharged Price
PLC_SURCHARGED_PRICE,5,DE,Bezuschlagter Preis
PLC_CUSTOMER_PRICE,1,EN,Customer specific price (SAP PLC)
PLC_CUSTOMER_PRICE,1,DE,Kundenspezifischer Preis (SAP PLC)
PLC_CUSTOMER_PRICE,2,EN,Customer specific price (SAP PLC)
PLC_CUSTOMER_PRICE,2,DE,Kundenspezifischer Preis (SAP PLC)
PLC_PROJECT_PRICE,1,JA-JP,プロジェクト価格(SAP PLC)
PLC_VENDOR_PRICE,1,JA-JP,仕入先価格(SAP PLC)
PLC_STANDARD_PRICE,1,JA-JP,仕入先価格(SAP PLC)
ERP_STANDARD_PRICE,1,JA-JP,仕入先価格(SAP ERP)
PLC_PROJECT_PRICE,2,JA-JP,プロジェクト価格(SAP PLC)
PLC_PLANNED_PRICE,2,JA-JP,計画原価(SAP PLC)
PLC_STANDARD_PRICE,2,JA-JP,仕入先価格(SAP PLC)
PLC_MANUAL_PRICE,3,JA-JP,マニュアル価格
PLC_CALCULATED_PRICE,4,JA-JP,計算コスト
PLC_SURCHARGED_PRICE,5,JA-JP,割増金価格
PLC_CUSTOMER_PRICE,1,JA-JP,カスタマ固有価格(SAP PLC)
PLC_CUSTOMER_PRICE,2,JA-JP,カスタマ固有価格(SAP PLC)
PLC_PROJECT_PRICE,1,ZH-HANS,项目价格(SAP PLC)
PLC_VENDOR_PRICE,1,ZH-HANS,供应商价格(SAP PLC)
PLC_STANDARD_PRICE,1,ZH-HANS,标准价格(SAP PLC)
ERP_STANDARD_PRICE,1,ZH-HANS,标准价格(SAP ERP)
PLC_PROJECT_PRICE,2,ZH-HANS,项目价格(SAP PLC)
PLC_PLANNED_PRICE,2,ZH-HANS,计划价格(SAP PLC)
PLC_STANDARD_PRICE,2,ZH-HANS,标准价格(SAP PLC)
PLC_MANUAL_PRICE,3,ZH-HANS,人工设定价格
PLC_CALCULATED_PRICE,4,ZH-HANS,计算成本
PLC_SURCHARGED_PRICE,5,ZH-HANS,额外费用
PLC_CUSTOMER_PRICE,1,ZH-HANS,客户特定价格(SAP PLC)
PLC_CUSTOMER_PRICE,2,ZH-HANS,客户特定价格(SAP PLC)
PLC_PROJECT_PRICE,1,ZH-HANT,項目價格(SAP PLC)
PLC_VENDOR_PRICE,1,ZH-HANT,供應商價格(SAP PLC)
PLC_STANDARD_PRICE,1,ZH-HANT,標準價格(SAP PLC)
ERP_STANDARD_PRICE,1,ZH-HANT,標準價格(SAP ERP)
PLC_PROJECT_PRICE,2,ZH-HANT,項目定價(SAP PLC)
PLC_PLANNED_PRICE,2,ZH-HANT,計劃價格(SAP PLC)
PLC_STANDARD_PRICE,2,ZH-HANT,標準價格(SAP PLC)
PLC_MANUAL_PRICE,3,ZH-HANT,標準價格
PLC_CALCULATED_PRICE,4,ZH-HANT,計算成本
PLC_SURCHARGED_PRICE,5,ZH-HANT,額外費用
PLC_CUSTOMER_PRICE,1,ZH-HANT,客戶特定價格(SAP PLC)
PLC_CUSTOMER_PRICE,2,ZH-HANT,客戶特定價格(SAP PLC)
