PROCESS_ID,CONTROLLING_AREA_ID,LANGUAGE,PROCESS_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#BP1,#CA1,DE,Arbeitsvorbereitung,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#BP2,#CA1,DE,Kundenauftragsbearbeitung,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#BP1,#CA1,EN,Plan work,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#BP2,#CA1,EN,Sales order processing,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR111,#CA2,DE,Stanzen 111,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR112,#CA1,DE,Stanzen 112,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR121,#CA1,DE,Arbeitsvorbereitung 121,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR122,#CA2,DE,Arbeitsvorbereitung 122,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR131,#CA1,DE,Verpacken 131,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR132,#CA2,DE,Verpacken 132,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR141,#CA1,DE,Fräsen 141,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR151,#CA1,DE,Schneiden 151,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR161,#CA1,DE,Montage 161,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR162,#CA2,DE,Montage 162,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR111,#CA2,EN,Stamping 111,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR112,#CA1,EN,Stamping 112,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR121,#CA1,EN,Plan work 121,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR122,#CA2,EN,Plan work 122,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR131,#CA1,EN,Packaging 131,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR132,#CA2,EN,Packaging 132,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR141,#CA1,EN,Milling 141,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR151,#CA1,EN,Cutting 151,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR161,#CA1,EN,Assembling 161,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PR162,#CA2,EN,Assembling 162,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
