PROFIT_CENTER_ID,CONTROLLING_AREA_ID,LANGUAGE,PROFIT_CENTER_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#PC1,#CA1,EN,Profit Center 1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC2,#CA1,EN,Profit Center 2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC3,#CA1,EN,Profit Center 3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC4,#CA2,EN,Profit Center 4,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC5,#CA2,EN,Profit Center 5,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC6,#CA2,EN,Profit Center 6,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC1,#CA1,DE,Profitcenter 1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC2,#CA1,DE,Profitcenter 2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC3,#CA1,DE,Profitcenter 3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC4,#CA2,DE,Profitcenter 4,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC5,#CA2,DE,Profitcenter 5,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PC6,#CA2,DE,Profitcenter 6,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
