TAG_ID,TAG_NAME,CREATED_ON,CREATED_BY
1,DRAFT,2000-01-01 00:00:00.0000000,#CONTROLLER
2,FINISHED,2000-01-01 00:00:00.0000000,#CONTROLLER
3,CALCULATED,2000-01-01 00:00:00.0000000,#CONTROLLER
4,DELAYED,2000-01-01 00:00:00.0000000,#CONTROLLER
5,IMPORTANT,2000-01-01 00:00:00.0000000,#CONTROLLER
6,NOT_IMPORTANT,2000-01-01 00:00:00.0000000,#CONTROLLER
7,TEMPORARY,2000-01-01 00:00:00.0000000,#CONTROLLER
8,OUTDATED,2000-01-01 00:00:00.0000000,#CONTROLLER
9,COMPLETE,2000-01-01 00:00:00.0000000,#CONTROLLER
10,INCOMPLETE,2000-01-01 00:00:00.0000000,#CONTROLLER
