"UOM_ID","LANGUAGE","UOM_CODE","UOM_DESCRIPTION","_VALID_FROM","_VALID_TO","_SOURCE","_CREATED_BY"
"PC","EN","PC","Piece","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"EA","EN","EA","Each","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM","EN","mm","Millimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM","EN","cm","Centimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M","EN","m","Meter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN","EN","""","Inch","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT","EN","ft","Foot","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD","EN","yd","Yard","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM2","EN","mm²","Square Millimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM2","EN","cm²","Square Centimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M2","EN","m²","Square Meter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN2","EN","""²","Square Inch","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT2","EN","ft²","Square Foot","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD2","EN","yd²","Square Yard","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM3","EN","mm³","Cubic Millimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM3","EN","cm³","Cubic Centimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M3","EN","m³","Cubic Meter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN3","EN","""³","Cubic Inch","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT3","EN","ft³","Cubic Foot","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD3","EN","yd³","Cubic Yard","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"ML","EN","ml","Milliliter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"L","EN","l","Liter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"PT","EN","pt","Pint (US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FOZ","EN","foz","Fluid Ounce (US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GAL","EN","gal","Gallon (US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MG","EN","mg","Milligram","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"G","EN","g","Gram","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KG","EN","kg","Kilogram","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"T","EN","t","Metric ton","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"OZ","EN","oz","Ounce","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"LB","EN","lb","Pound (US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"S","EN","sec","Second","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MS","EN","ms","Millisecond","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MIN","EN","min","Minute","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"H","EN","h","Hour","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"DAY","EN","d","Day","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GC3","EN","gc3","Gram per Cubic Centimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KM3","EN","km3","Kilogram per Cubic Meter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GM3","EN","gm3","Gram per Cubic Meter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KC3","EN","kc3","Kilogram per Cubic Centimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"OY3","EN","oy3","Ounce per Cubic Yard","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"PC","DE","ST","Stück","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"EA","DE","EA","je Stück","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM","DE","mm","Millimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM","DE","cm","Zentimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M","DE","m","Meter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN","DE","""","Zoll","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT","DE","ft","Fuß","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD","DE","yd","Yard","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM2","DE","mm²","Quadratmillimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM2","DE","cm²","Quadratzentimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M2","DE","m²","Quadratmeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN2","DE","""²","Quadratzoll","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT2","DE","ft²","Quadratfuß","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD2","DE","yd²","Quadratyard","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM3","DE","mm³","Kubikmillimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM3","DE","cm³","Kubikzentimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M3","DE","m³","Kubikmeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN3","DE","""³","Kubikzoll","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT3","DE","ft³","Kubikfuß","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD3","DE","yd³","Kubikyard","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"ML","DE","ml","Milliliter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"L","DE","l","Liter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"PT","DE","pt","Pint (US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FOZ","DE","foz","Flüssigkeits-Unze (US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GAL","DE","gal","Gallone (US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MG","DE","mg","Milligramm","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"G","DE","g","Gramm","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KG","DE","kg","Kilogramm","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"T","DE","t","Tonne","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"OZ","DE","oz","Unze","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"LB","DE","lb","Pfund (US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"S","DE","s","Sekunde","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MS","DE","ms","Millisekunde","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MIN","DE","min","Minute","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
