WORK_CENTER_ID,PLANT_ID,LANGUAGE,WORK_CENTER_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#WCEN111,#PT1,EN,Stamping Machine 111,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN112,#PT1,EN,Stamping Machine 112,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN113,#PT1,EN,Packaging Center 113,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN114,#PT1,EN,Milling Machine 114,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN115,#PT1,EN,Metal Processing Machine 115,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN116,#PT1,EN,Assembly Group 116,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN117,#PT1,EN,Internal logistics 117,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN118,#PT1,EN,Plant maintenance 118,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN121,#PT2,EN,Cutting Machine 121,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN122,#PT2,EN,Assembly group 122,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN123,#PT2,EN,Milling Machine 123,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN131,#PT3,EN,Internal logistics 131,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN241,#PT4,EN,Plant maintenance 241,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN251,#PT5,EN,Design & Development 251,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN261,#PT6,EN,External logistics 261,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN111,#PT1,DE,Stanzmaschine 111,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN112,#PT1,DE,Stanzmaschine 112,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN113,#PT1,DE,Verpackungszentrum 113,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN114,#PT1,DE,Fräsmaschine 114,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN115,#PT1,DE,Metallverarbeitungsmaschine 115,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN116,#PT1,DE,Montagegruppe 116,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN117,#PT1,DE,Interne Logistik 117,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN118,#PT1,DE,Fabrikinstandhaltung 118,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN121,#PT2,DE,Schnittmaschine 121,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN122,#PT2,DE,Montagegruppe 122,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN123,#PT2,DE,Fräsmaschine 123,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN131,#PT3,DE,Interne Logistik 131,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN241,#PT4,DE,Fabrikinstandhaltung 241,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN251,#PT5,DE,Produktentwicklung 251,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#WCEN261,#PT6,DE,Transport 261,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
