ACTIVITY_TYPE_ID,CONTROLLING_AREA_ID,LANGUAGE,ACTIVITY_TYPE_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#AT1,#CA1,EN,Activity Type 1 (setup),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT1,#CA1,DE,Leistungsart 1 (Rüsten),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT2,#CA1,EN,Activity Type 2 (labor),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT2,#CA1,DE,Leistungsart 2 (Personal),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT3,#CA1,EN,Activity Type 3 (machine),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT3,#CA1,DE,Leistungsart 3 (Maschine),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT4,#CA2,EN,Activity Type 4 (setup),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT4,#CA2,DE,Leistungsart 4 (Rüsten),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT5,#CA2,EN,Activity Type 5 (labor),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT5,#CA2,DE,Leistungsart 5 (Personal),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT6,#CA2,EN,Activity Type 6 (machine),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT6,#CA2,DE,Leistungsart 6 (Maschine),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT7,#CA1,EN,Picking,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT7,#CA1,DE,Entnahme,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT8,#CA1,EN,Transport,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT8,#CA1,DE,Transport,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT1,#CA3,EN,Activity Type 1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AT2,#CA3,EN,Activity Type 2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
