COMPANY_CODE_ID,LANGUAGE,COMPANY_CODE_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#C1,EN,Company 1, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C2,EN,Company 2, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C3,EN,Company 3, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C4,EN,Company 4, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C5,EN,Company 5, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C6,EN,Company 6, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C1,DE,Buchungskreis 1, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C2,DE,Buchungskreis 2, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C3,DE,Buchungskreis 3, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C4,DE,Buchungskreis 4, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C5,DE,Buchungskreis 5, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C6,DE,Buchungskreis 6, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#C11,EN,Company 11,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
