COMPONENT_SPLIT_ID,LANGUAGE,COMPONENT_SPLIT_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#SPLIT_ACTIVITIES,DE,Kostenschichtung (Leistungen),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_ACTIVITIES,EN,Cost Component Split (activities),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_CONDENSED,DE,Kostenschichtung (verdichtet),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_CONDENSED,EN,Cost Component Split (condensed),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_SPLIT_CONDENSED,DE,Buchungskreisübergreifende Kostenschichtung (verdichtet),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#IC_SPLIT_CONDENSED,EN,Cost Component Split (condensed) for Intercompany,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_DETAILED,DE,Kostenschichtung (detailliert),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_DETAILED,EN,Cost Component Split (detailed),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_FIX_VARIABLE,DE,Kostenschichtung (fix/variabel),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_FIX_VARIABLE,EN,Cost Component Split (fix/variable),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_OVERVIEW,DE,Kostenschichtung (Überblick),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_OVERVIEW,EN,Cost Component Split (overview),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_MATERIALS,DE,Kostenschichtung (Materialien),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#SPLIT_MATERIALS,EN,Cost Component Split (materials),2000-01-01 00:00:00.0000000,,1,#CONTROLLER
