COSTING_SHEET_OVERHEAD_ROW_ID,COSTING_SHEET_OVERHEAD_ID,VALID_FROM,VALID_TO,CONTROLLING_AREA_ID,COMPANY_CODE_ID,BUSINESS_AREA_ID,PROFIT_CENTER_ID,PLANT_ID,OVERHEAD_GROUP_ID,OVERHEAD_PERCENTAGE,PROJECT_ID,ACTIVITY_TYPE_ID,COST_CENTER_ID,WORK_CENTER_ID,OVERHEAD_QUANTITY_BASED,OVERHEAD_CURRENCY_ID,OVERHEAD_PRICE_UNIT,OVERHEAD_PRICE_UNIT_UOM_ID,FORMULA_ID,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY,CREDIT_FIXED_COST_PORTION
6,11,2015-01-01,2099-12-31,#CA1,#C1,,,#PT1,#OG3,10,,,,,,,,,2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,10
7,11,2015-01-01,2099-12-31,#CA1,#C2,,,#PT2,,10,,,,,,,,,1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,15
13,16,2015-01-01,2099-12-31,#CA1,,,,,,20,,,,,,,,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,
14,17,2015-01-01,2099-12-31,#CA1,,,,,,10,,,,,,,,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,
55,24,2015-01-01,2019-12-31,#CA1,,,,,,10,,,,,,,,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,10
56,24,2020-01-01,2099-12-31,#CA1,,,,,,15,,,,,,,,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,15
57,25,2015-01-01,2099-12-31,#CA1,,,,,,20,,,,,,,,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,
60,30,2015-01-01,2019-12-31,#CA1,,,,,,10,,,,,,,,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,10
61,30,2020-01-01,2099-12-31,#CA1,,,,,,15,,,,,,,,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,15
62,31,2015-01-01,2099-12-31,#CA1,,,,,,20,,,,,,,,,,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,
63,32,2015-01-01,2099-12-31,#CA1,,,,,,10,,,,,,,,,3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,
