DIMENSION_ID,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
NONE,2000-01-01 00:00:00.000,,1,#CONTROLLER
LENGTH,2000-01-01 00:00:00.000,,1,#CONTROLLER
AREA,2000-01-01 00:00:00.000,,1,#CONTROLLER
VOLUME,2000-01-01 00:00:00.000,,1,#CONTROLLER
MASS,2000-01-01 00:00:00.000,,1,#CONTROLLER
TIME,2000-01-01 00:00:00.000,,1,#CONTROLLER
DENSITY,2000-01-01 00:00:00.000,,1,#CONTROLLER
ENERGY,2000-01-01 00:00:00.000,,1,#CONTROLLER
STORAGE,2000-01-01 00:00:00.000,,1,#CONTROLLER
FREQUENCY,2000-01-01 00:00:00.000,,1,#CONTROLLER
TEMP,2000-01-01 00:00:00.000,,1,#CONTROLLER
