ITEM_ID,CALCULATION_VERSION_ID,PARENT_ITEM_ID,PREDECESSOR_ITEM_ID,IS_ACTIVE,ITEM_CATEGORY_ID,ACCOUNT_ID,DETERMINED_ACCOUNT_ID,DOCUMENT_TYPE_ID,DOCUMENT_ID,DOCUMENT_VERSION,DOCUMENT_PART,DOCUMENT_STATUS_ID,DESIGN_OFFICE_ID,MATERIAL_ID,MATERIAL_TYPE_ID,MATERIAL_GROUP_ID,OVERHEAD_GROUP_ID,VALUATION_CLASS_ID,ACTIVITY_TYPE_ID,PROCESS_ID,LOT_SIZE,LOT_SIZE_CALCULATED,LOT_SIZE_IS_MANUAL,ENGINEERING_CHANGE_NUMBER_ID,COMPANY_CODE_ID,COST_CENTER_ID,PLANT_ID,WORK_CENTER_ID,BUSINESS_AREA_ID,PROFIT_CENTER_ID,QUANTITY,QUANTITY_CALCULATED,QUANTITY_IS_MANUAL,QUANTITY_UOM_ID,TOTAL_QUANTITY,TOTAL_QUANTITY_UOM_ID,TOTAL_QUANTITY_DEPENDS_ON,IS_RELEVANT_TO_COSTING_IN_ERP,PRICE_FIXED_PORTION,PRICE_FIXED_PORTION_CALCULATED,PRICE_FIXED_PORTION_IS_MANUAL,PRICE_VARIABLE_PORTION,PRICE_VARIABLE_PORTION_CALCULATED,PRICE_VARIABLE_PORTION_IS_MANUAL,PRICE,TRANSACTION_CURRENCY_ID,PRICE_UNIT,PRICE_UNIT_CALCULATED,PRICE_UNIT_IS_MANUAL,PRICE_UNIT_UOM_ID,IS_PRICE_SPLIT_ACTIVE,PRICE_ID,CONFIDENCE_LEVEL_ID,PRICE_SOURCE_ID,VENDOR_ID,TARGET_COST,TARGET_COST_CALCULATED,TARGET_COST_IS_MANUAL,TARGET_COST_CURRENCY_ID,CREATED_ON,CREATED_BY,LAST_MODIFIED_ON,LAST_MODIFIED_BY,PRICE_FOR_TOTAL_QUANTITY,PRICE_FOR_TOTAL_QUANTITY_FIXED_PORTION,PRICE_FOR_TOTAL_QUANTITY_VARIABLE_PORTION,OTHER_COST,OTHER_COST_FIXED_PORTION,OTHER_COST_VARIABLE_PORTION,TOTAL_COST,TOTAL_COST_FIXED_PORTION,TOTAL_COST_VARIABLE_PORTION,HIGHLIGHT_GREEN,HIGHLIGHT_ORANGE,HIGHLIGHT_YELLOW,ITEM_DESCRIPTION,REFERENCED_CALCULATION_VERSION_ID,COMMENT,IS_PHANTOM_MATERIAL,IS_CONFIGURABLE_MATERIAL,MATERIAL_SOURCE,PURCHASING_GROUP,PURCHASING_DOCUMENT,LOCAL_CONTENT,BASE_QUANTITY,BASE_QUANTITY_CALCULATED,BASE_QUANTITY_IS_MANUAL,QUANTITY_PER_BASE_UNIT,QUANTITY_PER_BASE_UNIT_UOM_ID,PRICE_SOURCE_TYPE_ID,IS_DISABLING_PRICE_DETERMINATION,IS_DISABLING_ACCOUNT_DETERMINATION,TOTAL_QUANTITY_OF_VARIANTS,CHILD_ITEM_CATEGORY_ID
3952,1,,,1,0,#AC13,#AC13,,,,,,,#P-100,#FIN,#MECH,#OG1,#VC1,,,,,,,#C1,,#PT1,,#BA1,#PC1,,,0,,10,PC,1,0,0,272.6064,0,0,465.1224,0,,EUR,1,1,0,PC,0,,,PLC_CALCULATED_PRICE,,8000,,1,EUR,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,7377.288,2726.064,4651.224,0,0,0,8115.0168,2998.6704,5116.3464,,,,,,,0,0,,,,,1,,1,,,4,0,0,0,0
3998,1,3952,4017,1,2,#AC12,#AC12,,,,,,,#100-300,#SEM,#MECH,,#VC2,,,,,1,,#C2,,#PT2,,#BA2,#PC2,1,,,PC,10,PC,1,0,0,10.224,0,0,9.384,0,,EUR,1,1,0,PC,0,,,PLC_CALCULATED_PRICE,#VD3,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,196.08,102.24,93.84,0,0,0,215.688,112.464,103.224,,,,,,,0,0,,,,,1,,1,1,PC,4,0,0,0,2
3999,1,3998,4000,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,5,,1,MIN,50,MIN,1,,18,,1,36,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,4.5,1.5,3,0,0,0,5.4,1.8,3.6,,,,inspect and deliver to storage (labor),,,,,,,,,1,,1,5,MIN,2,0,0,0,3
4000,1,3998,4001,1,3,#AC23,#AC23,,,,,,,,,,,,#AT3,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,10,,1,MIN,100,MIN,1,,36,,1,18,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,9,6,3,0,0,0,10.8,7.2,3.6,,,,mill groove and turn thread (machine),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4001,1,3998,4002,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,10,,1,MIN,100,MIN,1,,18,,1,36,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,9,3,6,0,0,0,10.8,3.6,7.2,,,,mill groove and turn thread (labor),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4002,1,3998,4003,1,3,#AC21,#AC21,,,,,,,,,,,,#AT1,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,15,,1,MIN,15,MIN,0,,36,,1,6,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,1.05,0.9,0.15,0,0,0,1.26,1.08,0.18,,,,mill groove and turn thread (setup),,,,,,,,,1,,1,15,MIN,2,0,0,0,3
4003,1,3998,4004,1,3,#AC23,#AC23,,,,,,,,,,,,#AT3,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,30,,1,MIN,300,MIN,1,,36,,1,18,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,27,18,9,0,0,0,32.4,21.6,10.8,,,,turn shaft according to specification (machine),,,,,,,,,1,,1,30,MIN,2,0,0,0,3
4004,1,3998,4005,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,30,,1,MIN,300,MIN,1,,18,,1,36,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,27,9,18,0,0,0,32.4,10.8,21.6,,,,turn shaft according to specification (labor),,,,,,,,,1,,1,30,MIN,2,0,0,0,3
4005,1,3998,4006,1,3,#AC21,#AC21,,,,,,,,,,,,#AT1,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,10,,1,MIN,10,MIN,0,,36,,1,6,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,0.7,0.6,0.1,0,0,0,0.84,0.72,0.12,,,,turn shaft according to specification (setup),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4006,1,3998,4007,1,3,#AC23,#AC23,,,,,,,,,,,,#AT3,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,30,,1,MIN,300,MIN,1,,36,,1,18,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,27,18,9,0,0,0,32.4,21.6,10.8,,,,anneal shaft according to work instruction (machine),,,,,,,,,1,,1,30,MIN,2,0,0,0,3
