ITEM_ID,CALCULATION_VERSION_ID,COSTING_SHEET_ROW_ID,COSTING_SHEET_OVERHEAD_ROW_ID,ACCOUNT_ID,IS_ROLLED_UP_VALUE,HAS_SUBITEMS,COST,COST_FIXED_PORTION,COST_VARIABLE_PORTION,COST2,COST2_FIXED_PORTION,COST2_VARIABLE_PORTION,COST3,COST3_FIXED_PORTION,COST3_VARIABLE_PORTION
5176,2,COGS,-1,#AC33,0,1,737.7288000,272.6064000,465.1224000,0,0,0,0,0,0
4042,1,COGS,-1,#AC33,0,0,36.0000000,12.0000000,24.0000000,0,0,0,0,0,0
5176,2,COGS,-1,"",1,1,8115.0168000,2998.6704000,5116.3464000,0,0,0,0,0,0
5177,2,DMC,-1,#AC12,0,1,196.0800000,102.2400000,93.8400000,0,0,0,0,0,0
4018,1,COGM,-1,#AC22,0,0,300.0000000,100.0000000,200.0000000,0,0,0,0,0,0
13,4,DMC,-1,#AC11,0,0,10000.0000000,0.0000000,10000.0000000,0,0,0,0,0,0
5177,2,DMC,-1,"",1,1,6.0000000,0.0000000,6.0000000,0,0,0,0,0,0
5177,2,MOC,7,#AC31,0,1,19.6080000,10.2240000,9.3840000,0,0,0,0,0,0
4018,1,COGM,-1,#AC32,0,0,60.0000000,20.0000000,40.0000000,0,0,0,0,0,0
5177,2,MOC,-1,"",1,1,20.2080000,10.2240000,9.9840000,0,0,0,0,0,0
4018,1,SAO,14,#AC33,0,0,36.0000000,12.0000000,24.0000000,0,0,0,0,0,0
5177,2,DPC,-1,"",1,1,157.9000000,85.2000000,72.7000000,0,0,0,0,0,0
13,4,MOC,55,#AC31,0,0,1000.0000000,0.0000000,1000.0000000,0,0,0,0,0,0
4018,1,COGS,-1,#AC22,0,0,300.0000000,100.0000000,200.0000000,0,0,0,0,0,0
5177,2,POC,-1,"",1,1,31.5800000,17.0400000,14.5400000,0,0,0,0,0,0
13,4,MC,-1,#AC11,0,0,10000.0000000,0.0000000,10000.0000000,0,0,0,0,0,0
5177,2,COGM,-1,#AC12,0,1,196.0800000,102.2400000,93.8400000,0,0,0,0,0,0
4018,1,COGS,-1,#AC32,0,0,60.0000000,20.0000000,40.0000000,0,0,0,0,0,0
5177,2,COGM,-1,#AC31,0,1,19.6080000,10.2240000,9.3840000,0,0,0,0,0,0
13,4,MC,-1,#AC31,0,0,1000.0000000,0.0000000,1000.0000000,0,0,0,0,0,0
