PATH,BUSINESS_OBJECT,COLUMN_ID,IS_CUSTOM,ROLLUP_TYPE_ID,SIDE_PANEL_GROUP_ID,DISPLAY_ORDER,TABLE_DISPLAY_ORDER,REF_UOM_CURRENCY_PATH,REF_UOM_CURRENCY_BUSINESS_OBJECT,REF_UOM_CURRENCY_COLUMN_ID,UOM_CURRENCY_FLAG,SEMANTIC_DATA_TYPE,SEMANTIC_DATA_TYPE_ATTRIBUTES,VALIDATION_REGEX_ID,PROPERTY_TYPE,IS_IMMUTABLE_AFTER_SAVE,IS_REQUIRED_IN_MASTERDATA,IS_WILDCARD_ALLOWED,IS_USABLE_IN_FORMULA,RESOURCE_KEY_DISPLAY_NAME,RESOURCE_KEY_DISPLAY_DESCRIPTION,CREATED_ON,CREATED_BY,LAST_MODIFIED_ON,LAST_MODIFIED_BY
Project,Project,PROJECT_ID,0,0,401,1,,,,,,String,length=35; uppercase=1,MASTERDATA,3,1,,,,XFLD_Project_ProjectId,XTOL_Project_ProjectId,,,,
Project,Project,REFERENCE_PROJECT_ID,0,0,401,3,,,,,,String,length=24,,3,,,,,XFLD_Project_ReferenceProjectId,XTOL_Project_ReferenceProjectId,,,,
Project,Project,PROJECT_NAME,0,0,401,2,,,,,,String,length=100,,3,,,,,XFLD_Project_ProjectName,XTOL_Project_ProjectName,,,,
Project,Project,PROJECT_RESPONSIBLE,0,0,401,4,,,,,,String,length=256,,3,,,,,XFLD_Project_ProjectResponsible,XTOL_Project_ProjectResponsible,,,,
Project,Project,CONTROLLING_AREA_ID,0,0,,,,,,,,String,length=4; uppercase=1,MASTERDATA,,,1,,,,,,,,
Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,0,0,401,5,,,,,,String,length=4; uppercase=1,MASTERDATA,8,,1,,,XFLD_Project_ControllingArea,XTOL_Project_ControllingArea,,,,
Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION,0,0,401,5,,,,,,String,length=250,,3,,,,,,,,,,
Project,Project,CUSTOMER_ID,0,0,,,,,,,,String,length=10; uppercase=1,ITEM,,,,,,,,,,,
Project.Customer,Customer,CUSTOMER_ID,0,0,401,6,,,,,,String,length=10; uppercase=1,MASTERDATA,8,,,,,XFLD_Project_Customer,XTOL_Project_Customer,,,,
Project.Customer,Customer,CUSTOMER_NAME,0,0,401,6,,,,,,String,length=100,,3,,,,,,,,,,
Project,Project,SALES_DOCUMENT,0,0,401,7,,,,,,String,length=100,,,,,,,XFLD_Project_SalesDocument,XTOL_Project_SalesDocument,,,,
Project,Project,SALES_PRICE,0,0,401,8,,Project,Project,SALES_PRICE_CURRENCY_ID,,Decimal,precision=24; scale=7,,1,,,,,XFLD_Project_SalesPrice,XTOL_Project_SalesPrice,,,,
Project,Project,SALES_PRICE_CURRENCY_ID,0,0,,,,,,,1,String,length=3; uppercase=1,ITEM,7,,1,,,XFLD_Project_SalesPriceCurrency,XTOL_Project_SalesPriceCurrency,,,,
Project,Project,COMMENT,0,0,401,9,,,,,,String,length=5000,,4,,,,,XFLD_Project_Comment,XTOL_Project_Comment,,,,
Project,Project,PLANT_ID,0,0,,,,,,,,String,length=8; uppercase=1,ITEM,,,,,,,,,,,
Project.Plant,Plant,PLANT_ID,0,0,402,1,,,,,,String,length=8; uppercase=1,MASTERDATA,8,,,,,XFLD_Project_Plant,XTOL_Project_Plant,,,,
Project.Plant,Plant,PLANT_DESCRIPTION,0,0,402,1,,,,,,String,length=250,,3,,,,,,,,,,
Project,Project,COMPANY_CODE_ID,0,0,,,,,,,,String,length=4; uppercase=1,ITEM,,,,,,,,,,,
Project.Company_Code,Company_Code,COMPANY_CODE_ID,0,0,402,2,,,,,,String,length=4; uppercase=1,MASTERDATA,8,,,,,XFLD_Project_CompanyCode,XTOL_Project_CompanyCode,,,,
Project.Company_Code,Company_Code,COMPANY_CODE_DESCRIPTION,0,0,402,2,,,,,,String,length=250,,3,,,,,,,,,,
Project,Project,BUSINESS_AREA_ID,0,0,,,,,,,,String,length=15; uppercase=1,ITEM,,,,,,,,,,,
Project.Business_Area,Business_Area,BUSINESS_AREA_ID,0,0,402,3,,,,,,String,length=15; uppercase=1,MASTERDATA,8,,,,,XFLD_Project_BusinessArea,XTOL_Project_BusinessArea,,,,
Project.Business_Area,Business_Area,BUSINESS_AREA_DESCRIPTION,0,0,402,3,,,,,,String,length=250,,3,,,,,,,,,,
Project,Project,PROFIT_CENTER_ID,0,0,,,,,,,,String,length=10; uppercase=1,ITEM,,,,,,,,,,,
Project.Profit_Center,Profit_Center,PROFIT_CENTER_ID,0,0,402,4,,,,,,String,length=10; uppercase=1,MASTERDATA,8,,,,,XFLD_Project_ProfitCenter,XTOL_Project_ProfitCenter,,,,
Project.Profit_Center,Profit_Center,PROFIT_CENTER_DESCRIPTION,0,0,402,4,,,,,,String,length=250,,3,,,,,,,,,,
Project,Project,REPORT_CURRENCY_ID,0,0,403,1,,,,,,String,length=3; uppercase=1,ITEM,7,,1,,,XFLD_Project_ReportCurrency,XTOL_Project_ReportCurrency,,,,
Project,Project,COSTING_SHEET_ID,0,0,,,,,,,,String,length=15; uppercase=1,ITEM,,,1,,,,,,,,
Project.Costing_Sheet,Costing_Sheet,COSTING_SHEET_ID,0,0,403,2,,,,,,String,length=15; uppercase=1,MASTERDATA,8,,1,,,XFLD_Project_CostingSheet,XTOL_Project_CostingSheet,,,,
Project.Costing_Sheet,Costing_Sheet,COSTING_SHEET_DESCRIPTION,0,0,403,2,,,,,,String,length=250,,3,,,,,,,,,,
Project,Project,COMPONENT_SPLIT_ID,0,0,,,,,,,,String,length=35; uppercase=1,ITEM,,,1,,,,,,,,
Project.Component_Split,Component_Split,COMPONENT_SPLIT_ID,0,0,403,3,,,,,,String,length=35; uppercase=1,MASTERDATA,8,,1,,,XFLD_Project_ComponentSplit,XTOL_Project_ComponentSplit,,,,
Project.Component_Split,Component_Split,COMPONENT_SPLIT_DESCRIPTION,0,0,403,3,,,,,,String,length=250,,3,,,,,,,,,,
Project,Project,START_OF_PROJECT,0,0,404,1,,,,,,LocalDate,,,12,,,,,XFLD_Project_StartOfProject,XTOL_Project_StartOfProject,,,,
Project,Project,END_OF_PROJECT,0,0,404,2,,,,,,LocalDate,,,12,,,,,XFLD_Project_EndOfProject,XTOL_Project_EndOfProject,,,,
Project,Project,START_OF_PRODUCTION,0,0,404,3,,,,,,LocalDate,,,12,,,,,XFLD_Project_StartOfProduction,XTOL_Project_StartOfProduction,,,,
Project,Project,END_OF_PRODUCTION,0,0,404,4,,,,,,LocalDate,,,12,,,,,XFLD_Project_EndOfProduction,XTOL_Project_EndOfProduction,,,,
Project,Project,VALUATION_DATE,0,0,404,5,,,,,,LocalDate,,,12,,,,,XFLD_Project_ValuationDate,XTOL_Project_ValuationDate,,,,
Project,Project,LIFECYCLE_VALUATION_DATE,0,0,404,6,,,,,,LocalDate,,,12,,,,,XFLD_Project_LifecycleValuationDate,XTOL_Project_LifecycleValuationDate,,,,
Project,Project,LIFECYCLE_PERIOD_INTERVAL,0,0,,,,,,,,Integer,,,18,,,,,,,,,,
Project,Project,CREATED_ON,0,0,405,1,,,,,,UTCTimestamp,,,11,,,,,XFLD_Project_CreatedAt,XFLD_Project_CreatedAt,,,,
Project,Project,CREATED_BY,0,0,405,2,,,,,,String,length=256,,3,,,,,XFLD_Project_CreatedByUser,XFLD_Project_CreatedByUser,,,,
Project,Project,LAST_MODIFIED_ON,0,0,405,3,,,,,,UTCTimestamp,,,11,,,,,XFLD_Project_LastSavedAt,XFLD_Project_LastSavedAt,,,,
Project,Project,LAST_MODIFIED_BY,0,0,405,4,,,,,,String,length=256,,3,,,,,XFLD_Project_LastSavedByUser,XFLD_Project_LastSavedByUser,,,,
Item,Item,REFERENCED_CALCULATION_VERSION_ID,0,0,,,,,,,,Integer,,,,,,,1,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,CALCULATION_VERSION_ID,0,0,101,51,,,,,,Integer,,,3,,,,,XFLD_SidePanel_DisplayName_CalculationVersionId,XTOL_SidePanel_DescriptionName_CalculationVersionId,,,,
Item.Referenced_Calculation_Version.Calculation.Project,Project,PROJECT_ID,0,0,111,1,,,,,,String,length=35; uppercase=1,,15,,,,,XFLD_Project_ProjectId,XTOL_Project_ProjectId,,,,
Item.Referenced_Calculation_Version.Calculation.Project,Project,PROJECT_NAME,0,0,111,1,,,,,,String,length=100,,3,,,,,XFLD_Project_ProjectName,XTOL_Project_ProjectName,,,,
Item.Referenced_Calculation_Version.Calculation.Project,Project,REFERENCE_PROJECT_ID,0,0,111,3,,,,,,String,length=24,,3,,,,,XFLD_Project_ReferenceProjectId,XTOL_Project_ReferenceProjectId,,,,
Item.Referenced_Calculation_Version.Calculation,Calculation,CALCULATION_ID,0,0,111,4,,,,,,PositiveInteger,,,8,,,,,XFLD_SidePanel_DisplayName_CalculationId,XTOL_SidePanel_DescriptionName_CalculationId,,,,
Item.Referenced_Calculation_Version.Calculation,Calculation,CALCULATION_NAME,0,0,111,4,,,,,,String,length=500,,3,,,,,XFLD_SidePanel_DisplayName_CalculationName,XTOL_SidePanel_DescriptionName_CalculationName,,,,
Item.Referenced_Calculation_Version.Calculation.Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,0,0,111,6,,,,,,String,length=4; uppercase=1,MASTERDATA,8,,1,,,XFLD_Project_ControllingArea,XTOL_Project_ControllingArea,,,,
Item.Referenced_Calculation_Version.Calculation.Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION,0,0,111,6,,,,,,String,length=250,,3,,,,,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,CALCULATION_VERSION_NAME,0,0,101,52,,,,,,String,length=500,,3,,,,,XFLD_SidePanel_DisplayName_CalculationVersionName,XTOL_SidePanel_DescriptionName_CalculationVersionName,,,,
Item.Referenced_Calculation_Version,Calculation_Version,IS_FROZEN,0,0,101,53,,,,,,BooleanInt,,,5,,,,,XFLD_SidePanel_DisplayName_IsFrozen,XTOL_SidePanel_DescriptionName_IsFrozen,,,,
Item.Referenced_Calculation_Version,Calculation_Version,CALCULATION_VERSION_TYPE,0,0,101,54,,,,,,PositiveInteger,,,18,,,,,XFLD_SidePanel_DisplayName_VersionType,XTOL_SidePanel_DisplayName_VersionType,,,,
Item.Referenced_Calculation_Version,Calculation_Version,LIFECYCLE_PERIOD_DESCRIPTION,0,0,101,55,,,,,,String,length=500,,3,,,,,XFLD_SidePanel_DisplayName_LifecyclePeriodFrom,XTOL_SidePanel_DisplayName_LifecyclePeriodFrom,,,,
Item.Referenced_Calculation_Version,Calculation_Version,LIFECYCLE_PERIOD_FROM,0,0,101,55,,,,,,PositiveInteger,,,2,,,,,,,,,,
Item.Referenced_Calculation_Version.Customer,Customer,CUSTOMER_ID,0,0,101,57,,,,,,String,length=10; uppercase=1,MASTERDATA,8,,,,,XFLD_SidePanel_DisplayName_Customer,XTOL_SidePanel_DescriptionName_Customer,,,,
Item.Referenced_Calculation_Version.Customer,Customer,CUSTOMER_NAME,0,0,101,57,,,,,,String,length=100,,3,,,,,,,,,,
Item.Referenced_Calculation_Version,Calculation_Version,SALES_PRICE,0,0,101,58,,Item.Referenced_Calculation_Version,Calculation_Version,SALES_PRICE_CURRENCY_ID,,Decimal,precision=24; scale=7,,1,,,,,XFLD_SidePanel_DisplayName_SalesPrice,XTOL_SidePanel_DescriptionName_SalesPrice,,,,
Item.Referenced_Calculation_Version,Calculation_Version,SALES_PRICE_CURRENCY_ID,0,0,,,,,,,1,String,length=3; uppercase=1,ITEM,7,,1,,,XFLD_SidePanel_DisplayName_SalesPriceCurrency,XTOL_SidePanel_DescriptionName_SalesPriceCurrency,,,,
Item.Referenced_Calculation_Version,Calculation_Version,SALES_DOCUMENT,0,0,101,59,,,,,,String,length=100,,3,,,,,XFLD_SidePanel_SalesDocument,XTOL_SidePanel_SalesDocument,,,,
Item.Referenced_Calculation_Version.Costing_Sheet,Costing_Sheet,COSTING_SHEET_ID,0,0,101,60,,,,,,String,length=15; uppercase=1,MASTERDATA,8,,1,,,XFLD_SidePanel_DisplayName_CostingSheet,XTOL_SidePanel_DescriptionName_CostingSheet,,,,
Item.Referenced_Calculation_Version.Costing_Sheet,Costing_Sheet,COSTING_SHEET_DESCRIPTION,0,0,101,60,,,,,,String,length=250,,3,,,,,,,,,,
Item.Referenced_Calculation_Version.Root_Item,Item,ENGINEERING_CHANGE_NUMBER_ID,0,0,101,61,,,,,,String,length=250,,3,,,,,XFLD_SidePanel_DisplayName_EngineeringChangeNumber,XTOL_SidePanel_DescriptionName_EngineeringChangeNumber,,,,
Item.Referenced_Calculation_Version.Root_Item,Item,COMMENT,0,0,101,62,,,,,,String,length=5000,,4,,,,,XFLD_SidePanel_DisplayName_Comment,XTOL_SidePanel_DescriptionName_ItemComment,,,,
Item.Referenced_Calculation_Version,Calculation_Version,START_OF_PRODUCTION,0,0,112,1,,,,,,LocalDate,,,12,,,,,XFLD_SidePanel_DisplayName_StartOfProduction,XTOL_SidePanel_DescriptionName_StartOfProduction,,,,
Item.Referenced_Calculation_Version,Calculation_Version,END_OF_PRODUCTION,0,0,112,2,,,,,,LocalDate,,,12,,,,,XFLD_SidePanel_DisplayName_EndOfProduction,XTOL_SidePanel_DescriptionName_EndOfProduction,,,,
Item.Referenced_Calculation_Version,Calculation_Version,VALUATION_DATE,0,0,112,3,,,,,,LocalDate,,,12,,,,,XFLD_SidePanel_DisplayName_ValuationDate,XTOL_SidePanel_DescriptionName_ValuationDate,,,,
Item.Referenced_Calculation_Version,Calculation_Version,MASTER_DATA_TIMESTAMP,0,0,112,4,,,,,,UTCTimestamp,,,11,,,,,XFLD_SidePanel_DisplayName_MasterDataTimestamp,XTOL_SidePanel_DescriptionName_MasterDataTimestamp,,,,
Item.Referenced_Calculation_Version.Root_Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID,0,0,109,51,,,,,,String,length=3; uppercase=1,MASTERDATA,8,,1,,,XFLD_SidePanel_DisplayName_DocumentType,XTOL_SidePanel_DescriptionName_DocumentType,,,,
Item.Referenced_Calculation_Version.Root_Item.Document_Type,Document_Type,DOCUMENT_TYPE_DESCRIPTION,0,0,109,51,,,,,,String,length=250,,3,,,,,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Document,Document,DOCUMENT_ID,0,0,109,53,,,,,,String,length=40; uppercase=1,MASTERDATA,8,,,,,XFLD_SidePanel_DisplayName_Document,XTOL_SidePanel_DescriptionName_Document,,,,
Item.Referenced_Calculation_Version.Root_Item.Document,Document,DOCUMENT_DESCRIPTION,0,0,109,53,,,,,,String,length=250,,3,,,,,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Document,Document,DOCUMENT_PART,0,0,109,55,,,,,,String,length=3,,3,,,,,XFLD_SidePanel_DisplayName_DocumentPart,XTOL_SidePanel_DescriptionName_DocumentPart,,,,
Item.Referenced_Calculation_Version.Root_Item.Document,Document,DOCUMENT_VERSION,0,0,109,56,,,,,,String,length=2,,3,,,,,XFLD_SidePanel_DisplayName_DocumentVersion,XTOL_SidePanel_DescriptionName_DocumentVersion,,,,
Item.Referenced_Calculation_Version.Root_Item.Document_Status,Document_Status,DOCUMENT_STATUS_ID,0,0,109,57,,,,,,String,length=2; uppercase=1,MASTERDATA,8,,1,,,XFLD_SidePanel_DisplayName_DocumentStatus,XTOL_SidePanel_DescriptionName_DocumentStatus,,,,
Item.Referenced_Calculation_Version.Root_Item.Document_Status,Document_Status,DOCUMENT_STATUS_DESCRIPTION,0,0,109,57,,,,,,String,length=250,,3,,,,,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Design_Office,Design_Office,DESIGN_OFFICE_ID,0,0,109,59,,,,,,String,length=3,MASTERDATA,8,,,,,XFLD_SidePanel_DisplayName_LaboratoryDesignOffice,XTOL_SidePanel_DescriptionName_LaboratoryDesignOffice,,,,
Item.Referenced_Calculation_Version.Root_Item.Design_Office,Design_Office,DESIGN_OFFICE_DESCRIPTION,0,0,109,59,,,,,,String,length=250,,3,,,,,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Material,Material,MATERIAL_ID,0,0,110,51,,,,,,String,length=40; uppercase=1,MASTERDATA,8,,,,,XFLD_SidePanel_DisplayName_MaterialId,XTOL_SidePanel_DescriptionName_MaterialId,,,,
Item.Referenced_Calculation_Version.Root_Item.Material,Material,MATERIAL_DESCRIPTION,0,0,110,51,,,,,,String,length=250,,3,,,,,XFLD_SidePanel_DisplayName_MaterialDescription,XFLD_SidePanel_DisplayName_MaterialDescription,,,,
Item.Referenced_Calculation_Version.Root_Item.Material,Material,_SOURCE,0,0,110,52,,,,,,Integer,,,18,,,,,XFLD_SidePanel_DisplayName_MaterialSource,XTOL_SidePanel_DescriptionName_MaterialSource,,,,
Item.Referenced_Calculation_Version.Root_Item.Material_Type,Material_Type,MATERIAL_TYPE_ID,0,0,110,53,,,,,,String,length=4; uppercase=1,MASTERDATA,8,,1,,,XFLD_SidePanel_DisplayName_MaterialType,XTOL_SidePanel_DescriptionName_MaterialType,,,,
Item.Referenced_Calculation_Version.Root_Item.Material_Type,Material_Type,MATERIAL_TYPE_DESCRIPTION,0,0,110,53,,,,,,String,length=250,,3,,,,,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Material_Group,Material_Group,MATERIAL_GROUP_ID,0,0,110,54,,,,,,String,length=9; uppercase=1,MASTERDATA,8,,1,,,XFLD_SidePanel_DisplayName_MaterialGroup,XTOL_SidePanel_DescriptionName_MaterialGroup,,,,
