PLANT_ID,LANGUAGE,PLANT_DESCRIPTION,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#PT1,EN,Plant 1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT2,EN,Plant 2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT3,EN,Plant 3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT4,EN,Plant 4,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT5,EN,Plant 5,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT6,EN,Plant 6,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT1,DE,Werk 1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT2,DE,Werk 2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT3,DE,Werk 3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT4,DE,Werk 4,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT5,DE,Werk 5,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#PT6,DE,Werk 6,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#P11,EN,Plant 11,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#P12,EN,Plant 12,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#P13,EN,Plant 13,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#P14,EN,Plant 14,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#P15,EN,Plant 15,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
